MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,bet365_H,bet365_A,Pinnacle_H,Pinnacle_A,Unibet_H,Unibet_A,William Hill_H,William Hill_A,bwin_H,bwin_A,bet-at-home_H,bet-at-home_A,1xBet_H,1xBet_A,Marathonbet_H,Marathonbet_A,nan_H,nan_A
26,2008-2009,Tennessee Titans,Indianapolis Colts,2008-10-28,31.0,21.0,Na,Na,-192.0,0.9297370587380758,Na,Na,Na,Na,-222.0,0.9303885000628641,Na,Na,Na,Na,Na,Na,Na,Na
27,2008-2009,Pittsburgh Steelers,New York Giants,2008-10-26,14.0,21.0,Na,Na,-143.0,0.9280893042575284,Na,Na,Na,Na,-154.0,0.9285498944829664,Na,Na,Na,Na,Na,Na,Na,Na
28,2008-2009,San Francisco 49ers,Seattle Seahawks,2008-10-26,13.0,34.0,Na,Na,-233.0,0.9305855100247622,Na,Na,Na,Na,-222.0,0.9303885000628641,Na,Na,Na,Na,Na,Na,Na,Na
29,2008-2009,Houston Texans,Cincinnati Bengals,2008-10-26,35.0,6.0,Na,Na,-385.0,0.932158248995206,Na,Na,Na,Na,-435.0,0.9324359084283632,Na,Na,Na,Na,Na,Na,Na,Na
30,2008-2009,Jacksonville Jaguars,Cleveland Browns,2008-10-26,17.0,23.0,Na,Na,-312.0,0.9315935624496133,Na,Na,Na,Na,-294.0,0.931411373356566,Na,Na,Na,Na,Na,Na,Na,Na
31,2008-2009,Baltimore Ravens,Tennessee Titans,2008-10-05,10.0,13.0,Na,Na,118.0,0.9425672977074846,Na,Na,Na,Na,-149.0,0.9283489096573206,Na,Na,Na,Na,Na,Na,Na,Na
32,2008-2009,Carolina Panthers,Kansas City Chiefs,2008-10-05,34.0,0.0,Na,Na,-417.0,0.9323436032732639,Na,Na,Na,Na,370.0,0.9371121748600663,Na,Na,Na,Na,Na,Na,Na,Na
33,2008-2009,Detroit Lions,Chicago Bears,2008-10-05,7.0,34.0,Na,Na,156.0,0.9406089840217063,Na,Na,Na,Na,-208.0,0.9301077672941913,Na,Na,Na,Na,Na,Na,Na,Na
34,2008-2009,Green Bay Packers,Atlanta Falcons,2008-10-05,24.0,27.0,Na,Na,-172.0,0.9291772459618604,Na,Na,Na,Na,-189.0,0.9296606000983767,Na,Na,Na,Na,Na,Na,Na,Na
35,2008-2009,Houston Texans,Indianapolis Colts,2008-10-05,27.0,31.0,Na,Na,154.0,0.9406878016003908,Na,Na,Na,Na,154.0,0.9406878016003908,Na,Na,Na,Na,Na,Na,Na,Na
36,2008-2009,Miami Dolphins,Los Angeles Chargers,2008-10-05,17.0,10.0,Na,Na,221.0,0.9388275276125744,Na,Na,Na,Na,220.0,0.9388469252763196,Na,Na,Na,Na,Na,Na,Na,Na
37,2008-2009,New York Giants,Seattle Seahawks,2008-10-05,44.0,6.0,Na,Na,-270.0,0.9311308066351691,Na,Na,Na,Na,-345.0,0.9318783426070982,Na,Na,Na,Na,Na,Na,Na,Na
38,2008-2009,Philadelphia Eagles,Washington Commanders,2008-10-05,17.0,23.0,Na,Na,-256.0,0.9309429433797592,Na,Na,Na,Na,-263.0,0.9310393656188048,Na,Na,Na,Na,Na,Na,Na,Na
39,2011-2012,New York Giants,New England Patriots,2012-02-05,21.0,17.0,140.0,0.9413030323404826,152.0,0.9407687070619545,125.0,0.9421163702140487,138.0,0.9414011869841054,Na,Na,129.0,0.9418808411214952,Na,Na,Na,Na,Na,Na
40,2011-2012,AFC,NFC,2012-01-29,59.0,41.0,140.0,0.9413030323404826,152.0,0.9407687070619545,-169.0,0.9290819131390873,145.0,0.9410695742471443,135.0,0.9415539126795927,129.0,0.9418808411214952,Na,Na,Na,Na,Na,Na
41,2011-2012,San Francisco 49ers,New York Giants,2012-01-22,17.0,20.0,-152.0,0.9284710769042819,-149.0,0.9283489096573206,-149.0,0.9283489096573206,-145.0,0.9281782102163615,-149.0,0.9283489096573206,-143.0,0.9280893042575284,Na,Na,Na,Na,Na,Na
42,2011-2012,New England Patriots,Baltimore Ravens,2012-01-22,23.0,20.0,-345.0,0.9318783426070982,-345.0,0.9318783426070982,-370.0,0.9320603572058341,-345.0,0.9318783426070982,-370.0,0.9320603572058341,-357.0,0.9319688821594527,Na,Na,Na,Na,Na,Na
