index;TeamsRaw;Bookmaker;OddHome;OddDraw;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
118;Gremio - Botafogo RJ;bet365;+150;+220;+150;Sunday, 11 Dec 2016, 18:00;Final result 0:1 (0:1, 0:0);1;Gremio;Botafogo RJ;11 Dec 2016; 0;1 ;2016
119;Gremio - Botafogo RJ;bwin;+150;+220;+160;Sunday, 11 Dec 2016, 18:00;Final result 0:1 (0:1, 0:0);1;Gremio;Botafogo RJ;11 Dec 2016; 0;1 ;2016
120;Gremio - Botafogo RJ;Marathonbet;+100;+250;+305;Sunday, 11 Dec 2016, 18:00;Final result 0:1 (0:1, 0:0);1;Gremio;Botafogo RJ;11 Dec 2016; 0;1 ;2016
121;Gremio - Botafogo RJ;Pinnacle;+233;+254;+125;Sunday, 11 Dec 2016, 18:00;Final result 0:1 (0:1, 0:0);1;Gremio;Botafogo RJ;11 Dec 2016; 0;1 ;2016
122;Gremio - Botafogo RJ;Unibet;+210;+229;+120;Sunday, 11 Dec 2016, 18:00;Final result 0:1 (0:1, 0:0);1;Gremio;Botafogo RJ;11 Dec 2016; 0;1 ;2016
123;Gremio - Botafogo RJ;William Hill;+120;+120;+120;Sunday, 11 Dec 2016, 18:00;Final result 0:1 (0:1, 0:0);1;Gremio;Botafogo RJ;11 Dec 2016; 0;1 ;2016
145;Ponte Preta - Coritiba;1xBet;-106;+250;+344;Sunday, 11 Dec 2016, 18:00;Final result 2:0 (0:0, 2:0);1;Ponte Preta;Coritiba;11 Dec 2016; 2;0 ;2016
146;Ponte Preta - Coritiba;bet-at-home;-122;+243;+303;Sunday, 11 Dec 2016, 18:00;Final result 2:0 (0:0, 2:0);1;Ponte Preta;Coritiba;11 Dec 2016; 2;0 ;2016
147;Ponte Preta - Coritiba;bet365;-125;+225;+300;Sunday, 11 Dec 2016, 18:00;Final result 2:0 (0:0, 2:0);1;Ponte Preta;Coritiba;11 Dec 2016; 2;0 ;2016
148;Ponte Preta - Coritiba;bwin;-118;+220;+300;Sunday, 11 Dec 2016, 18:00;Final result 2:0 (0:0, 2:0);1;Ponte Preta;Coritiba;11 Dec 2016; 2;0 ;2016
149;Ponte Preta - Coritiba;Marathonbet;+104;+246;+298;Sunday, 11 Dec 2016, 18:00;Final result 2:0 (0:0, 2:0);1;Ponte Preta;Coritiba;11 Dec 2016; 2;0 ;2016
150;Ponte Preta - Coritiba;Pinnacle;-116;+266;+365;Sunday, 11 Dec 2016, 18:00;Final result 2:0 (0:0, 2:0);1;Ponte Preta;Coritiba;11 Dec 2016; 2;0 ;2016
151;Ponte Preta - Coritiba;Unibet;-125;+250;+320;Sunday, 11 Dec 2016, 18:00;Final result 2:0 (0:0, 2:0);1;Ponte Preta;Coritiba;11 Dec 2016; 2;0 ;2016
152;Ponte Preta - Coritiba;William Hill;+320;+320;+320;Sunday, 11 Dec 2016, 18:00;Final result 2:0 (0:0, 2:0);1;Ponte Preta;Coritiba;11 Dec 2016; 2;0 ;2016
174;Santos - America MG;1xBet;-370;+550;+1050;Sunday, 11 Dec 2016, 18:00;Final result 1:0 (0:0, 1:0);1;Santos;America MG;11 Dec 2016; 1;0 ;2016
175;Santos - America MG;bet-at-home;-526;+527;+1053;Sunday, 11 Dec 2016, 18:00;Final result 1:0 (0:0, 1:0);1;Santos;America MG;11 Dec 2016; 1;0 ;2016
176;Santos - America MG;bet365;-588;+500;+1000;Sunday, 11 Dec 2016, 18:00;Final result 1:0 (0:0, 1:0);1;Santos;America MG;11 Dec 2016; 1;0 ;2016
177;Santos - America MG;bwin;-556;+500;+1100;Sunday, 11 Dec 2016, 18:00;Final result 1:0 (0:0, 1:0);1;Santos;America MG;11 Dec 2016; 1;0 ;2016
178;Santos - America MG;Marathonbet;-385;+550;+1100;Sunday, 11 Dec 2016, 18:00;Final result 1:0 (0:0, 1:0);1;Santos;America MG;11 Dec 2016; 1;0 ;2016
179;Santos - America MG;Pinnacle;-476;+635;+1564;Sunday, 11 Dec 2016, 18:00;Final result 1:0 (0:0, 1:0);1;Santos;America MG;11 Dec 2016; 1;0 ;2016
