index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
0;San Francisco 49ers - Baltimore Ravens;bet-at-home;-182;+140;Sunday, 03 Feb 2013, 22:30;Final result 31:34 (3:7, 3:14, 17:7, 8:6);1;San Francisco 49ers;Baltimore Ravens;03 Feb 2013; 31;34 ;2012-2013
1;San Francisco 49ers - Baltimore Ravens;bet365;-192;+167;Sunday, 03 Feb 2013, 22:30;Final result 31:34 (3:7, 3:14, 17:7, 8:6);1;San Francisco 49ers;Baltimore Ravens;03 Feb 2013; 31;34 ;2012-2013
2;San Francisco 49ers - Baltimore Ravens;Marathonbet;-204;+190;Sunday, 03 Feb 2013, 22:30;Final result 31:34 (3:7, 3:14, 17:7, 8:6);1;San Francisco 49ers;Baltimore Ravens;03 Feb 2013; 31;34 ;2012-2013
3;San Francisco 49ers - Baltimore Ravens;Pinnacle;-196;+175;Sunday, 03 Feb 2013, 22:30;Final result 31:34 (3:7, 3:14, 17:7, 8:6);1;San Francisco 49ers;Baltimore Ravens;03 Feb 2013; 31;34 ;2012-2013
4;San Francisco 49ers - Baltimore Ravens;Unibet;-189;+154;Sunday, 03 Feb 2013, 22:30;Final result 31:34 (3:7, 3:14, 17:7, 8:6);1;San Francisco 49ers;Baltimore Ravens;03 Feb 2013; 31;34 ;2012-2013
5;San Francisco 49ers - Baltimore Ravens;William Hill;+154;+150;Sunday, 03 Feb 2013, 22:30;Final result 31:34 (3:7, 3:14, 17:7, 8:6);1;San Francisco 49ers;Baltimore Ravens;03 Feb 2013; 31;34 ;2012-2013
29;NFC - AFC;bet-at-home;+120;-154;Sunday, 27 Jan 2013, 23:00;Final result 62:35 (7:7, 24:7, 21:7, 10:14);1;NFC;AFC;27 Jan 2013; 62;35 ;2012-2013
30;NFC - AFC;bet365;-116;-105;Sunday, 27 Jan 2013, 23:00;Final result 62:35 (7:7, 24:7, 21:7, 10:14);1;NFC;AFC;27 Jan 2013; 62;35 ;2012-2013
31;NFC - AFC;bwin;+125;-149;Sunday, 27 Jan 2013, 23:00;Final result 62:35 (7:7, 24:7, 21:7, 10:14);1;NFC;AFC;27 Jan 2013; 62;35 ;2012-2013
32;NFC - AFC;Marathonbet;+104;-111;Sunday, 27 Jan 2013, 23:00;Final result 62:35 (7:7, 24:7, 21:7, 10:14);1;NFC;AFC;27 Jan 2013; 62;35 ;2012-2013
33;NFC - AFC;Pinnacle;+104;-115;Sunday, 27 Jan 2013, 23:00;Final result 62:35 (7:7, 24:7, 21:7, 10:14);1;NFC;AFC;27 Jan 2013; 62;35 ;2012-2013
34;NFC - AFC;Unibet;-105;-118;Sunday, 27 Jan 2013, 23:00;Final result 62:35 (7:7, 24:7, 21:7, 10:14);1;NFC;AFC;27 Jan 2013; 62;35 ;2012-2013
35;NFC - AFC;William Hill;-110;-110;Sunday, 27 Jan 2013, 23:00;Final result 62:35 (7:7, 24:7, 21:7, 10:14);1;NFC;AFC;27 Jan 2013; 62;35 ;2012-2013
58;New England Patriots - Baltimore Ravens;bet-at-home;-435;+320;Sunday, 20 Jan 2013, 22:30;Final result 13:28 (3:0, 10:7, 0:7, 0:14);1;New England Patriots;Baltimore Ravens;20 Jan 2013; 13;28 ;2012-2013
59;New England Patriots - Baltimore Ravens;bet365;-435;+325;Sunday, 20 Jan 2013, 22:30;Final result 13:28 (3:0, 10:7, 0:7, 0:14);1;New England Patriots;Baltimore Ravens;20 Jan 2013; 13;28 ;2012-2013
60;New England Patriots - Baltimore Ravens;bwin;-435;+325;Sunday, 20 Jan 2013, 22:30;Final result 13:28 (3:0, 10:7, 0:7, 0:14);1;New England Patriots;Baltimore Ravens;20 Jan 2013; 13;28 ;2012-2013
61;New England Patriots - Baltimore Ravens;Marathonbet;-455;+409;Sunday, 20 Jan 2013, 22:30;Final result 13:28 (3:0, 10:7, 0:7, 0:14);1;New England Patriots;Baltimore Ravens;20 Jan 2013; 13;28 ;2012-2013
62;New England Patriots - Baltimore Ravens;Pinnacle;-400;+350;Sunday, 20 Jan 2013, 22:30;Final result 13:28 (3:0, 10:7, 0:7, 0:14);1;New England Patriots;Baltimore Ravens;20 Jan 2013; 13;28 ;2012-2013
63;New England Patriots - Baltimore Ravens;Unibet;-455;+340;Sunday, 20 Jan 2013, 22:30;Final result 13:28 (3:0, 10:7, 0:7, 0:14);1;New England Patriots;Baltimore Ravens;20 Jan 2013; 13;28 ;2012-2013
64;New England Patriots - Baltimore Ravens;William Hill;-400;+350;Sunday, 20 Jan 2013, 22:30;Final result 13:28 (3:0, 10:7, 0:7, 0:14);1;New England Patriots;Baltimore Ravens;20 Jan 2013; 13;28 ;2012-2013
87;Atlanta Falcons - San Francisco 49ers;bet-at-home;+150;-200;Sunday, 20 Jan 2013, 19:00;Final result 24:28 (10:0, 14:14, 0:7, 0:7);1;Atlanta Falcons;San Francisco 49ers;20 Jan 2013; 24;28 ;2012-2013
88;Atlanta Falcons - San Francisco 49ers;bet365;+129;-152;Sunday, 20 Jan 2013, 19:00;Final result 24:28 (10:0, 14:14, 0:7, 0:7);1;Atlanta Falcons;San Francisco 49ers;20 Jan 2013; 24;28 ;2012-2013
89;Atlanta Falcons - San Francisco 49ers;bwin;+140;-167;Sunday, 20 Jan 2013, 19:00;Final result 24:28 (10:0, 14:14, 0:7, 0:7);1;Atlanta Falcons;San Francisco 49ers;20 Jan 2013; 24;28 ;2012-2013
90;Atlanta Falcons - San Francisco 49ers;Marathonbet;+170;-182;Sunday, 20 Jan 2013, 19:00;Final result 24:28 (10:0, 14:14, 0:7, 0:7);1;Atlanta Falcons;San Francisco 49ers;20 Jan 2013; 24;28 ;2012-2013
91;Atlanta Falcons - San Francisco 49ers;Pinnacle;+158;-175;Sunday, 20 Jan 2013, 19:00;Final result 24:28 (10:0, 14:14, 0:7, 0:7);1;Atlanta Falcons;San Francisco 49ers;20 Jan 2013; 24;28 ;2012-2013
92;Atlanta Falcons - San Francisco 49ers;Unibet;+150;-185;Sunday, 20 Jan 2013, 19:00;Final result 24:28 (10:0, 14:14, 0:7, 0:7);1;Atlanta Falcons;San Francisco 49ers;20 Jan 2013; 24;28 ;2012-2013
93;Atlanta Falcons - San Francisco 49ers;William Hill;+150;-169;Sunday, 20 Jan 2013, 19:00;Final result 24:28 (10:0, 14:14, 0:7, 0:7);1;Atlanta Falcons;San Francisco 49ers;20 Jan 2013; 24;28 ;2012-2013
116;New England Patriots - Houston Texans;bet-at-home;-400;+290;Sunday, 13 Jan 2013, 20:30;Final result 41:28 (7:3, 10:10, 14:0, 10:15);1;New England Patriots;Houston Texans;13 Jan 2013; 41;28 ;2012-2013
117;New England Patriots - Houston Texans;bet365;-455;+350;Sunday, 13 Jan 2013, 20:30;Final result 41:28 (7:3, 10:10, 14:0, 10:15);1;New England Patriots;Houston Texans;13 Jan 2013; 41;28 ;2012-2013
118;New England Patriots - Houston Texans;bwin;+350;+350;Sunday, 13 Jan 2013, 20:30;Final result 41:28 (7:3, 10:10, 14:0, 10:15);1;New England Patriots;Houston Texans;13 Jan 2013; 41;28 ;2012-2013
