index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
0;Indianapolis Colts - New Orleans Saints;bet-at-home;-222;+170;Sunday, 07 Feb 2010, 22:00;Final result 17:31 (10:0, 0:6, 7:10, 0:15);1;Indianapolis Colts;New Orleans Saints;07 Feb 2010; 17;31 ;2009-2010
1;Indianapolis Colts - New Orleans Saints;bet365;-233;+190;Sunday, 07 Feb 2010, 22:00;Final result 17:31 (10:0, 0:6, 7:10, 0:15);1;Indianapolis Colts;New Orleans Saints;07 Feb 2010; 17;31 ;2009-2010
2;Indianapolis Colts - New Orleans Saints;bwin;-238;+195;Sunday, 07 Feb 2010, 22:00;Final result 17:31 (10:0, 0:6, 7:10, 0:15);1;Indianapolis Colts;New Orleans Saints;07 Feb 2010; 17;31 ;2009-2010
3;Indianapolis Colts - New Orleans Saints;Pinnacle;-200;+181;Sunday, 07 Feb 2010, 22:00;Final result 17:31 (10:0, 0:6, 7:10, 0:15);1;Indianapolis Colts;New Orleans Saints;07 Feb 2010; 17;31 ;2009-2010
4;Indianapolis Colts - New Orleans Saints;William Hill;-208;+175;Sunday, 07 Feb 2010, 22:00;Final result 17:31 (10:0, 0:6, 7:10, 0:15);1;Indianapolis Colts;New Orleans Saints;07 Feb 2010; 17;31 ;2009-2010
29;NFC - AFC;bet-at-home;-133;+100;Sunday, 31 Jan 2010, 23:20;Final result 34:41 (10:14, 7:3, 14:17, 3:7);1;NFC;AFC;31 Jan 2010; 34;41 ;2009-2010
30;NFC - AFC;bet365;-132;+110;Sunday, 31 Jan 2010, 23:20;Final result 34:41 (10:14, 7:3, 14:17, 3:7);1;NFC;AFC;31 Jan 2010; 34;41 ;2009-2010
31;NFC - AFC;bwin;-133;+110;Sunday, 31 Jan 2010, 23:20;Final result 34:41 (10:14, 7:3, 14:17, 3:7);1;NFC;AFC;31 Jan 2010; 34;41 ;2009-2010
32;NFC - AFC;Pinnacle;-125;+114;Sunday, 31 Jan 2010, 23:20;Final result 34:41 (10:14, 7:3, 14:17, 3:7);1;NFC;AFC;31 Jan 2010; 34;41 ;2009-2010
33;NFC - AFC;Unibet;+114;+114;Sunday, 31 Jan 2010, 23:20;Final result 34:41 (10:14, 7:3, 14:17, 3:7);1;NFC;AFC;31 Jan 2010; 34;41 ;2009-2010
34;NFC - AFC;William Hill;+114;+114;Sunday, 31 Jan 2010, 23:20;Final result 34:41 (10:14, 7:3, 14:17, 3:7);1;NFC;AFC;31 Jan 2010; 34;41 ;2009-2010
58;New Orleans Saints - Minnesota Vikings;bet-at-home;-222;+170;Sunday, 24 Jan 2010, 22:40;Final result 31:28 OT (7:14, 7:0, 7:7, 7:7, 3:0);1;New Orleans Saints;Minnesota Vikings;24 Jan 2010; 31;28 ;2009-2010
59;New Orleans Saints - Minnesota Vikings;bet365;-213;+175;Sunday, 24 Jan 2010, 22:40;Final result 31:28 OT (7:14, 7:0, 7:7, 7:7, 3:0);1;New Orleans Saints;Minnesota Vikings;24 Jan 2010; 31;28 ;2009-2010
60;New Orleans Saints - Minnesota Vikings;bwin;-222;+179;Sunday, 24 Jan 2010, 22:40;Final result 31:28 OT (7:14, 7:0, 7:7, 7:7, 3:0);1;New Orleans Saints;Minnesota Vikings;24 Jan 2010; 31;28 ;2009-2010
61;New Orleans Saints - Minnesota Vikings;Pinnacle;-200;+181;Sunday, 24 Jan 2010, 22:40;Final result 31:28 OT (7:14, 7:0, 7:7, 7:7, 3:0);1;New Orleans Saints;Minnesota Vikings;24 Jan 2010; 31;28 ;2009-2010
62;New Orleans Saints - Minnesota Vikings;William Hill;-208;+175;Sunday, 24 Jan 2010, 22:40;Final result 31:28 OT (7:14, 7:0, 7:7, 7:7, 3:0);1;New Orleans Saints;Minnesota Vikings;24 Jan 2010; 31;28 ;2009-2010
87;Indianapolis Colts - New York Jets;bet-at-home;-333;+240;Sunday, 24 Jan 2010, 19:00;Final result 30:17 (0:0, 13:17, 7:0, 10:0);1;Indianapolis Colts;New York Jets;24 Jan 2010; 30;17 ;2009-2010
88;Indianapolis Colts - New York Jets;bet365;-357;+275;Sunday, 24 Jan 2010, 19:00;Final result 30:17 (0:0, 13:17, 7:0, 10:0);1;Indianapolis Colts;New York Jets;24 Jan 2010; 30;17 ;2009-2010
89;Indianapolis Colts - New York Jets;bwin;-345;+275;Sunday, 24 Jan 2010, 19:00;Final result 30:17 (0:0, 13:17, 7:0, 10:0);1;Indianapolis Colts;New York Jets;24 Jan 2010; 30;17 ;2009-2010
90;Indianapolis Colts - New York Jets;Pinnacle;-323;+285;Sunday, 24 Jan 2010, 19:00;Final result 30:17 (0:0, 13:17, 7:0, 10:0);1;Indianapolis Colts;New York Jets;24 Jan 2010; 30;17 ;2009-2010
91;Indianapolis Colts - New York Jets;William Hill;-345;+275;Sunday, 24 Jan 2010, 19:00;Final result 30:17 (0:0, 13:17, 7:0, 10:0);1;Indianapolis Colts;New York Jets;24 Jan 2010; 30;17 ;2009-2010
116;Los Angeles Chargers - New York Jets;bet-at-home;-333;+240;Sunday, 17 Jan 2010, 20:40;Final result 14:17 (0:0, 7:0, 0:3, 7:14);1;Los Angeles Chargers;New York Jets;17 Jan 2010; 14;17 ;2009-2010
117;Los Angeles Chargers - New York Jets;bet365;-370;+280;Sunday, 17 Jan 2010, 20:40;Final result 14:17 (0:0, 7:0, 0:3, 7:14);1;Los Angeles Chargers;New York Jets;17 Jan 2010; 14;17 ;2009-2010
118;Los Angeles Chargers - New York Jets;bwin;-345;+275;Sunday, 17 Jan 2010, 20:40;Final result 14:17 (0:0, 7:0, 0:3, 7:14);1;Los Angeles Chargers;New York Jets;17 Jan 2010; 14;17 ;2009-2010
119;Los Angeles Chargers - New York Jets;Pinnacle;-323;+285;Sunday, 17 Jan 2010, 20:40;Final result 14:17 (0:0, 7:0, 0:3, 7:14);1;Los Angeles Chargers;New York Jets;17 Jan 2010; 14;17 ;2009-2010
120;Los Angeles Chargers - New York Jets;Unibet;-370;+280;Sunday, 17 Jan 2010, 20:40;Final result 14:17 (0:0, 7:0, 0:3, 7:14);1;Los Angeles Chargers;New York Jets;17 Jan 2010; 14;17 ;2009-2010
121;Los Angeles Chargers - New York Jets;William Hill;-345;+275;Sunday, 17 Jan 2010, 20:40;Final result 14:17 (0:0, 7:0, 0:3, 7:14);1;Los Angeles Chargers;New York Jets;17 Jan 2010; 14;17 ;2009-2010
145;Minnesota Vikings - Dallas Cowboys;bet-at-home;-154;+120;Sunday, 17 Jan 2010, 17:00;Final result 34:3 (7:0, 10:3, 0:0, 17:0);1;Minnesota Vikings;Dallas Cowboys;17 Jan 2010; 34;3 ;2009-2010
146;Minnesota Vikings - Dallas Cowboys;bet365;-141;+120;Sunday, 17 Jan 2010, 17:00;Final result 34:3 (7:0, 10:3, 0:0, 17:0);1;Minnesota Vikings;Dallas Cowboys;17 Jan 2010; 34;3 ;2009-2010
147;Minnesota Vikings - Dallas Cowboys;bwin;-143;+120;Sunday, 17 Jan 2010, 17:00;Final result 34:3 (7:0, 10:3, 0:0, 17:0);1;Minnesota Vikings;Dallas Cowboys;17 Jan 2010; 34;3 ;2009-2010
148;Minnesota Vikings - Dallas Cowboys;Pinnacle;-135;+123;Sunday, 17 Jan 2010, 17:00;Final result 34:3 (7:0, 10:3, 0:0, 17:0);1;Minnesota Vikings;Dallas Cowboys;17 Jan 2010; 34;3 ;2009-2010
149;Minnesota Vikings - Dallas Cowboys;Unibet;-143;+114;Sunday, 17 Jan 2010, 17:00;Final result 34:3 (7:0, 10:3, 0:0, 17:0);1;Minnesota Vikings;Dallas Cowboys;17 Jan 2010; 34;3 ;2009-2010
150;Minnesota Vikings - Dallas Cowboys;William Hill;-145;+125;Sunday, 17 Jan 2010, 17:00;Final result 34:3 (7:0, 10:3, 0:0, 17:0);1;Minnesota Vikings;Dallas Cowboys;17 Jan 2010; 34;3 ;2009-2010
174;Indianapolis Colts - Baltimore Ravens;bet-at-home;-286;+210;Sunday, 17 Jan 2010, 00:15;Final result 20:3 (3:3, 14:0, 0:0, 3:0);1;Indianapolis Colts;Baltimore Ravens;17 Jan 2010; 20;3 ;2009-2010
175;Indianapolis Colts - Baltimore Ravens;bet365;-263;+215;Sunday, 17 Jan 2010, 00:15;Final result 20:3 (3:3, 14:0, 0:0, 3:0);1;Indianapolis Colts;Baltimore Ravens;17 Jan 2010; 20;3 ;2009-2010
176;Indianapolis Colts - Baltimore Ravens;bwin;+215;+220;Sunday, 17 Jan 2010, 00:15;Final result 20:3 (3:3, 14:0, 0:0, 3:0);1;Indianapolis Colts;Baltimore Ravens;17 Jan 2010; 20;3 ;2009-2010
177;Indianapolis Colts - Baltimore Ravens;Pinnacle;+220;+227;Sunday, 17 Jan 2010, 00:15;Final result 20:3 (3:3, 14:0, 0:0, 3:0);1;Indianapolis Colts;Baltimore Ravens;17 Jan 2010; 20;3 ;2009-2010
178;Indianapolis Colts - Baltimore Ravens;Unibet;-286;+220;Sunday, 17 Jan 2010, 00:15;Final result 20:3 (3:3, 14:0, 0:0, 3:0);1;Indianapolis Colts;Baltimore Ravens;17 Jan 2010; 20;3 ;2009-2010
179;Indianapolis Colts - Baltimore Ravens;William Hill;+220;+220;Sunday, 17 Jan 2010, 00:15;Final result 20:3 (3:3, 14:0, 0:0, 3:0);1;Indianapolis Colts;Baltimore Ravens;17 Jan 2010; 20;3 ;2009-2010
203;Denver Broncos - Las Vegas Raiders;bet-at-home;-1000;+600;Sunday, 20 Dec 2009, 20:05;Final result 19:20 (6:0, 0:13, 10:0, 3:7);1;Denver Broncos;Las Vegas Raiders;20 Dec 2009; 19;20 ;2009-2010
204;Denver Broncos - Las Vegas Raiders;bet365;-1111;+700;Sunday, 20 Dec 2009, 20:05;Final result 19:20 (6:0, 0:13, 10:0, 3:7);1;Denver Broncos;Las Vegas Raiders;20 Dec 2009; 19;20 ;2009-2010
205;Denver Broncos - Las Vegas Raiders;bwin;+700;+700;Sunday, 20 Dec 2009, 20:05;Final result 19:20 (6:0, 0:13, 10:0, 3:7);1;Denver Broncos;Las Vegas Raiders;20 Dec 2009; 19;20 ;2009-2010
206;Denver Broncos - Las Vegas Raiders;Pinnacle;-833;+620;Sunday, 20 Dec 2009, 20:05;Final result 19:20 (6:0, 0:13, 10:0, 3:7);1;Denver Broncos;Las Vegas Raiders;20 Dec 2009; 19;20 ;2009-2010
207;Denver Broncos - Las Vegas Raiders;Unibet;+620;+620;Sunday, 20 Dec 2009, 20:05;Final result 19:20 (6:0, 0:13, 10:0, 3:7);1;Denver Broncos;Las Vegas Raiders;20 Dec 2009; 19;20 ;2009-2010
208;Denver Broncos - Las Vegas Raiders;William Hill;+620;+600;Sunday, 20 Dec 2009, 20:05;Final result 19:20 (6:0, 0:13, 10:0, 3:7);1;Denver Broncos;Las Vegas Raiders;20 Dec 2009; 19;20 ;2009-2010
232;Los Angeles Chargers - Cincinnati Bengals;bet-at-home;-286;+210;Sunday, 20 Dec 2009, 20:05;Final result 27:24 (7:3, 7:10, 10:0, 3:11);1;Los Angeles Chargers;Cincinnati Bengals;20 Dec 2009; 27;24 ;2009-2010
233;Los Angeles Chargers - Cincinnati Bengals;bet365;-303;+240;Sunday, 20 Dec 2009, 20:05;Final result 27:24 (7:3, 7:10, 10:0, 3:11);1;Los Angeles Chargers;Cincinnati Bengals;20 Dec 2009; 27;24 ;2009-2010
234;Los Angeles Chargers - Cincinnati Bengals;bwin;+240;+250;Sunday, 20 Dec 2009, 20:05;Final result 27:24 (7:3, 7:10, 10:0, 3:11);1;Los Angeles Chargers;Cincinnati Bengals;20 Dec 2009; 27;24 ;2009-2010
235;Los Angeles Chargers - Cincinnati Bengals;Pinnacle;-323;+280;Sunday, 20 Dec 2009, 20:05;Final result 27:24 (7:3, 7:10, 10:0, 3:11);1;Los Angeles Chargers;Cincinnati Bengals;20 Dec 2009; 27;24 ;2009-2010
236;Los Angeles Chargers - Cincinnati Bengals;Unibet;-286;+220;Sunday, 20 Dec 2009, 20:05;Final result 27:24 (7:3, 7:10, 10:0, 3:11);1;Los Angeles Chargers;Cincinnati Bengals;20 Dec 2009; 27;24 ;2009-2010
237;Los Angeles Chargers - Cincinnati Bengals;William Hill;-278;+240;Sunday, 20 Dec 2009, 20:05;Final result 27:24 (7:3, 7:10, 10:0, 3:11);1;Los Angeles Chargers;Cincinnati Bengals;20 Dec 2009; 27;24 ;2009-2010
261;Buffalo Bills - New England Patriots;bet-at-home;+240;-333;Sunday, 20 Dec 2009, 17:00;Final result 10:17 (3:0, 0:14, 0:3, 7:0);1;Buffalo Bills;New England Patriots;20 Dec 2009; 10;17 ;2009-2010
262;Buffalo Bills - New England Patriots;bet365;+290;-370;Sunday, 20 Dec 2009, 17:00;Final result 10:17 (3:0, 0:14, 0:3, 7:0);1;Buffalo Bills;New England Patriots;20 Dec 2009; 10;17 ;2009-2010
263;Buffalo Bills - New England Patriots;bwin;+275;-345;Sunday, 20 Dec 2009, 17:00;Final result 10:17 (3:0, 0:14, 0:3, 7:0);1;Buffalo Bills;New England Patriots;20 Dec 2009; 10;17 ;2009-2010
264;Buffalo Bills - New England Patriots;Pinnacle;+300;-345;Sunday, 20 Dec 2009, 17:00;Final result 10:17 (3:0, 0:14, 0:3, 7:0);1;Buffalo Bills;New England Patriots;20 Dec 2009; 10;17 ;2009-2010
265;Buffalo Bills - New England Patriots;Unibet;+250;-333;Sunday, 20 Dec 2009, 17:00;Final result 10:17 (3:0, 0:14, 0:3, 7:0);1;Buffalo Bills;New England Patriots;20 Dec 2009; 10;17 ;2009-2010
266;Buffalo Bills - New England Patriots;William Hill;+260;-323;Sunday, 20 Dec 2009, 17:00;Final result 10:17 (3:0, 0:14, 0:3, 7:0);1;Buffalo Bills;New England Patriots;20 Dec 2009; 10;17 ;2009-2010
290;Detroit Lions - Arizona Cardinals;bet-at-home;+500;-833;Sunday, 20 Dec 2009, 17:00;Final result 24:31 (0:7, 0:10, 17:0, 7:14);1;Detroit Lions;Arizona Cardinals;20 Dec 2009; 24;31 ;2009-2010
291;Detroit Lions - Arizona Cardinals;bet365;+475;-714;Sunday, 20 Dec 2009, 17:00;Final result 24:31 (0:7, 0:10, 17:0, 7:14);1;Detroit Lions;Arizona Cardinals;20 Dec 2009; 24;31 ;2009-2010
292;Detroit Lions - Arizona Cardinals;bwin;+480;-769;Sunday, 20 Dec 2009, 17:00;Final result 24:31 (0:7, 0:10, 17:0, 7:14);1;Detroit Lions;Arizona Cardinals;20 Dec 2009; 24;31 ;2009-2010
293;Detroit Lions - Arizona Cardinals;Pinnacle;+495;-667;Sunday, 20 Dec 2009, 17:00;Final result 24:31 (0:7, 0:10, 17:0, 7:14);1;Detroit Lions;Arizona Cardinals;20 Dec 2009; 24;31 ;2009-2010
294;Detroit Lions - Arizona Cardinals;Unibet;-667;-667;Sunday, 20 Dec 2009, 17:00;Final result 24:31 (0:7, 0:10, 17:0, 7:14);1;Detroit Lions;Arizona Cardinals;20 Dec 2009; 24;31 ;2009-2010
295;Detroit Lions - Arizona Cardinals;William Hill;+450;-714;Sunday, 20 Dec 2009, 17:00;Final result 24:31 (0:7, 0:10, 17:0, 7:14);1;Detroit Lions;Arizona Cardinals;20 Dec 2009; 24;31 ;2009-2010
319;Kansas City Chiefs - Cleveland Browns;bet-at-home;-133;+100;Sunday, 20 Dec 2009, 17:00;Final result 34:41 (3:10, 21:10, 0:7, 10:14);1;Kansas City Chiefs;Cleveland Browns;20 Dec 2009; 34;41 ;2009-2010
320;Kansas City Chiefs - Cleveland Browns;bet365;-132;+110;Sunday, 20 Dec 2009, 17:00;Final result 34:41 (3:10, 21:10, 0:7, 10:14);1;Kansas City Chiefs;Cleveland Browns;20 Dec 2009; 34;41 ;2009-2010
321;Kansas City Chiefs - Cleveland Browns;bwin;-133;+110;Sunday, 20 Dec 2009, 17:00;Final result 34:41 (3:10, 21:10, 0:7, 10:14);1;Kansas City Chiefs;Cleveland Browns;20 Dec 2009; 34;41 ;2009-2010
322;Kansas City Chiefs - Cleveland Browns;Pinnacle;-115;+104;Sunday, 20 Dec 2009, 17:00;Final result 34:41 (3:10, 21:10, 0:7, 10:14);1;Kansas City Chiefs;Cleveland Browns;20 Dec 2009; 34;41 ;2009-2010
323;Kansas City Chiefs - Cleveland Browns;Unibet;-125;+100;Sunday, 20 Dec 2009, 17:00;Final result 34:41 (3:10, 21:10, 0:7, 10:14);1;Kansas City Chiefs;Cleveland Browns;20 Dec 2009; 34;41 ;2009-2010
324;Kansas City Chiefs - Cleveland Browns;William Hill;-120;+100;Sunday, 20 Dec 2009, 17:00;Final result 34:41 (3:10, 21:10, 0:7, 10:14);1;Kansas City Chiefs;Cleveland Browns;20 Dec 2009; 34;41 ;2009-2010
