index;TeamsRaw;Bookmaker;OddHome;OddDraw;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
261;Colorado Rapids - New York Red Bulls;bet-at-home;+120;+200;+170;Saturday, 21 Aug 2004, 21:55;Final result 1:0 (0:0, 1:0);1;Colorado Rapids;New York Red Bulls;21 Aug 2004; 1;0 ;2004
262;Colorado Rapids - New York Red Bulls;bwin;+125;+200;+200;Saturday, 21 Aug 2004, 21:55;Final result 1:0 (0:0, 1:0);1;Colorado Rapids;New York Red Bulls;21 Aug 2004; 1;0 ;2004
263;Colorado Rapids - New York Red Bulls;William Hill;+125;+200;+190;Saturday, 21 Aug 2004, 21:55;Final result 1:0 (0:0, 1:0);1;Colorado Rapids;New York Red Bulls;21 Aug 2004; 1;0 ;2004
290;Columbus Crew - DC United;bet-at-home;+100;+200;+210;Saturday, 21 Aug 2004, 21:55;Final result 2:2 (1:1, 1:1);1;Columbus Crew;DC United;21 Aug 2004; 2;2 ;2004
291;Columbus Crew - DC United;bwin;+110;+190;+240;Saturday, 21 Aug 2004, 21:55;Final result 2:2 (1:1, 1:1);1;Columbus Crew;DC United;21 Aug 2004; 2;2 ;2004
292;Columbus Crew - DC United;Pinnacle;+110;+220;+225;Saturday, 21 Aug 2004, 21:55;Final result 2:2 (1:1, 1:1);1;Columbus Crew;DC United;21 Aug 2004; 2;2 ;2004
293;Columbus Crew - DC United;William Hill;-111;+220;+250;Saturday, 21 Aug 2004, 21:55;Final result 2:2 (1:1, 1:1);1;Columbus Crew;DC United;21 Aug 2004; 2;2 ;2004
319;Houston Dynamo - FC Dallas;bet-at-home;+114;+200;+179;Saturday, 21 Aug 2004, 21:55;Final result 3:0 (2:0, 1:0);1;Houston Dynamo;FC Dallas;21 Aug 2004; 3;0 ;2004
320;Houston Dynamo - FC Dallas;bwin;+120;+200;+210;Saturday, 21 Aug 2004, 21:55;Final result 3:0 (2:0, 1:0);1;Houston Dynamo;FC Dallas;21 Aug 2004; 3;0 ;2004
321;Houston Dynamo - FC Dallas;William Hill;+125;+200;+190;Saturday, 21 Aug 2004, 21:55;Final result 3:0 (2:0, 1:0);1;Houston Dynamo;FC Dallas;21 Aug 2004; 3;0 ;2004
