index;TeamsRaw;Bookmaker;OddHome;OddDraw;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
0;New England Revolution - Los Angeles Galaxy;bet365;+100;+210;+239;Sunday, 13 Nov 2005, 19:30;Final result 0:1 ET (0:0, 0:0, 0:1);1;New England Revolution;Los Angeles Galaxy;13 Nov 2005; 0;1 ;2005
1;New England Revolution - Los Angeles Galaxy;Pinnacle;+134;+211;+189;Sunday, 13 Nov 2005, 19:30;Final result 0:1 ET (0:0, 0:0, 0:1);1;New England Revolution;Los Angeles Galaxy;13 Nov 2005; 0;1 ;2005
2;New England Revolution - Los Angeles Galaxy;William Hill;+100;+215;+225;Sunday, 13 Nov 2005, 19:30;Final result 0:1 ET (0:0, 0:0, 0:1);1;New England Revolution;Los Angeles Galaxy;13 Nov 2005; 0;1 ;2005
29;New England Revolution - Chicago Fire;bet-at-home;-118;+220;+270;Sunday, 06 Nov 2005, 19:00;Final result 1:0 (1:0, 0:0);1;New England Revolution;Chicago Fire;06 Nov 2005; 1;0 ;2005
30;New England Revolution - Chicago Fire;bet365;-111;+220;+260;Sunday, 06 Nov 2005, 19:00;Final result 1:0 (1:0, 0:0);1;New England Revolution;Chicago Fire;06 Nov 2005; 1;0 ;2005
31;New England Revolution - Chicago Fire;bwin;-118;+229;+270;Sunday, 06 Nov 2005, 19:00;Final result 1:0 (1:0, 0:0);1;New England Revolution;Chicago Fire;06 Nov 2005; 1;0 ;2005
32;New England Revolution - Chicago Fire;Pinnacle;-120;+229;+300;Sunday, 06 Nov 2005, 19:00;Final result 1:0 (1:0, 0:0);1;New England Revolution;Chicago Fire;06 Nov 2005; 1;0 ;2005
33;New England Revolution - Chicago Fire;William Hill;-125;+220;+290;Sunday, 06 Nov 2005, 19:00;Final result 1:0 (1:0, 0:0);1;New England Revolution;Chicago Fire;06 Nov 2005; 1;0 ;2005
58;Colorado Rapids - Los Angeles Galaxy;bet-at-home;+100;+220;+240;Saturday, 05 Nov 2005, 21:55;Final result 0:2 (0:1, 0:1);1;Colorado Rapids;Los Angeles Galaxy;05 Nov 2005; 0;2 ;2005
59;Colorado Rapids - Los Angeles Galaxy;bet365;+100;+220;+239;Saturday, 05 Nov 2005, 21:55;Final result 0:2 (0:1, 0:1);1;Colorado Rapids;Los Angeles Galaxy;05 Nov 2005; 0;2 ;2005
60;Colorado Rapids - Los Angeles Galaxy;bwin;+100;+225;+229;Saturday, 05 Nov 2005, 21:55;Final result 0:2 (0:1, 0:1);1;Colorado Rapids;Los Angeles Galaxy;05 Nov 2005; 0;2 ;2005
61;Colorado Rapids - Los Angeles Galaxy;Pinnacle;+110;+225;+225;Saturday, 05 Nov 2005, 21:55;Final result 0:2 (0:1, 0:1);1;Colorado Rapids;Los Angeles Galaxy;05 Nov 2005; 0;2 ;2005
62;Colorado Rapids - Los Angeles Galaxy;William Hill;-111;+210;+260;Saturday, 05 Nov 2005, 21:55;Final result 0:2 (0:1, 0:1);1;Colorado Rapids;Los Angeles Galaxy;05 Nov 2005; 0;2 ;2005
87;DC United - Chicago Fire;bet-at-home;-118;+220;+270;Sunday, 30 Oct 2005, 20:30;Final result 0:4 (0:3, 0:1);1;DC United;Chicago Fire;30 Oct 2005; 0;4 ;2005
88;DC United - Chicago Fire;bet365;-111;+225;+250;Sunday, 30 Oct 2005, 20:30;Final result 0:4 (0:3, 0:1);1;DC United;Chicago Fire;30 Oct 2005; 0;4 ;2005
89;DC United - Chicago Fire;bwin;-125;+220;+309;Sunday, 30 Oct 2005, 20:30;Final result 0:4 (0:3, 0:1);1;DC United;Chicago Fire;30 Oct 2005; 0;4 ;2005
90;DC United - Chicago Fire;Pinnacle;-120;+245;+280;Sunday, 30 Oct 2005, 20:30;Final result 0:4 (0:3, 0:1);1;DC United;Chicago Fire;30 Oct 2005; 0;4 ;2005
91;DC United - Chicago Fire;William Hill;-118;+229;+250;Sunday, 30 Oct 2005, 20:30;Final result 0:4 (0:3, 0:1);1;DC United;Chicago Fire;30 Oct 2005; 0;4 ;2005
116;FC Dallas - DC United;bet-at-home;+114;+210;+190;Saturday, 10 Sep 2005, 21:59;Final result 1:2 (0:1, 1:1);1;FC Dallas;DC United;10 Sep 2005; 1;2 ;2005
117;FC Dallas - DC United;bet365;+120;+210;+200;Saturday, 10 Sep 2005, 21:59;Final result 1:2 (0:1, 1:1);1;FC Dallas;DC United;10 Sep 2005; 1;2 ;2005
118;FC Dallas - DC United;bwin;+114;+204;+215;Saturday, 10 Sep 2005, 21:59;Final result 1:2 (0:1, 1:1);1;FC Dallas;DC United;10 Sep 2005; 1;2 ;2005
119;FC Dallas - DC United;Pinnacle;+120;+210;+210;Saturday, 10 Sep 2005, 21:59;Final result 1:2 (0:1, 1:1);1;FC Dallas;DC United;10 Sep 2005; 1;2 ;2005
120;FC Dallas - DC United;William Hill;+125;+210;+179;Saturday, 10 Sep 2005, 21:59;Final result 1:2 (0:1, 1:1);1;FC Dallas;DC United;10 Sep 2005; 1;2 ;2005
145;New England Revolution - Columbus Crew;bet-at-home;-182;+250;+400;Saturday, 10 Sep 2005, 21:59;Final result 3:1 (2:0, 1:1);1;New England Revolution;Columbus Crew;10 Sep 2005; 3;1 ;2005
