index;TeamsRaw;Bookmaker;OddHome;OddDraw;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
0;Houston Dynamo - New England Revolution;bet365;+154;+200;+154;Sunday, 12 Nov 2006, 19:30;Final result 2:1 penalties (0:0, 0:0, 1:1);1;Houston Dynamo;New England Revolution;12 Nov 2006; 2;1 ;2006
29;Houston Dynamo - Colorado Rapids;bet365;-111;+220;+250;Sunday, 05 Nov 2006, 21:55;Final result 3:1 (2:1, 1:0);1;Houston Dynamo;Colorado Rapids;05 Nov 2006; 3;1 ;2006
30;Houston Dynamo - Colorado Rapids;William Hill;-105;+220;+229;Sunday, 05 Nov 2006, 21:55;Final result 3:1 (2:1, 1:0);1;Houston Dynamo;Colorado Rapids;05 Nov 2006; 3;1 ;2006
58;DC United - New England Revolution;bet-at-home;-111;+220;+265;Sunday, 05 Nov 2006, 20:00;Final result 0:1 (0:1, 0:0);1;DC United;New England Revolution;05 Nov 2006; 0;1 ;2006
59;DC United - New England Revolution;bwin;-125;+225;+300;Sunday, 05 Nov 2006, 20:00;Final result 0:1 (0:1, 0:0);1;DC United;New England Revolution;05 Nov 2006; 0;1 ;2006
60;DC United - New England Revolution;William Hill;-125;+225;+280;Sunday, 05 Nov 2006, 20:00;Final result 0:1 (0:1, 0:0);1;DC United;New England Revolution;05 Nov 2006; 0;1 ;2006
87;DC United - New York Red Bulls;bet-at-home;-154;+245;+359;Sunday, 29 Oct 2006, 21:55;Final result 1:1 (0:0, 1:1);1;DC United;New York Red Bulls;29 Oct 2006; 1;1 ;2006
88;DC United - New York Red Bulls;bet365;-154;+240;+375;Sunday, 29 Oct 2006, 21:55;Final result 1:1 (0:0, 1:1);1;DC United;New York Red Bulls;29 Oct 2006; 1;1 ;2006
89;DC United - New York Red Bulls;bwin;-154;+240;+375;Sunday, 29 Oct 2006, 21:55;Final result 1:1 (0:0, 1:1);1;DC United;New York Red Bulls;29 Oct 2006; 1;1 ;2006
90;DC United - New York Red Bulls;William Hill;-167;+240;+380;Sunday, 29 Oct 2006, 21:55;Final result 1:1 (0:0, 1:1);1;DC United;New York Red Bulls;29 Oct 2006; 1;1 ;2006
116;Houston Dynamo - Chivas USA;bet365;-111;+220;+260;Sunday, 29 Oct 2006, 21:55;Final result 2:0 (0:0, 2:0);1;Houston Dynamo;Chivas USA;29 Oct 2006; 2;0 ;2006
117;Houston Dynamo - Chivas USA;bwin;-105;+210;+260;Sunday, 29 Oct 2006, 21:55;Final result 2:0 (0:0, 2:0);1;Houston Dynamo;Chivas USA;29 Oct 2006; 2;0 ;2006
118;Houston Dynamo - Chivas USA;William Hill;-111;+210;+260;Sunday, 29 Oct 2006, 21:55;Final result 2:0 (0:0, 2:0);1;Houston Dynamo;Chivas USA;29 Oct 2006; 2;0 ;2006
145;Chicago Fire - New York Red Bulls;bet-at-home;-111;+220;+265;Sunday, 03 Sep 2006, 21:55;Final result 2:1 (1:0, 1:1);1;Chicago Fire;New York Red Bulls;03 Sep 2006; 2;1 ;2006
146;Chicago Fire - New York Red Bulls;bwin;-118;+215;+295;Sunday, 03 Sep 2006, 21:55;Final result 2:1 (1:0, 1:1);1;Chicago Fire;New York Red Bulls;03 Sep 2006; 2;1 ;2006
147;Chicago Fire - New York Red Bulls;William Hill;-120;+220;+275;Sunday, 03 Sep 2006, 21:55;Final result 2:1 (1:0, 1:1);1;Chicago Fire;New York Red Bulls;03 Sep 2006; 2;1 ;2006
174;Chivas USA - DC United;bet-at-home;+140;+204;+175;Sunday, 03 Sep 2006, 21:55;Final result 1:2 (1:2, 0:0);1;Chivas USA;DC United;03 Sep 2006; 1;2 ;2006
175;Chivas USA - DC United;bet365;+150;+210;+150;Sunday, 03 Sep 2006, 21:55;Final result 1:2 (1:2, 0:0);1;Chivas USA;DC United;03 Sep 2006; 1;2 ;2006
176;Chivas USA - DC United;bwin;+135;+200;+185;Sunday, 03 Sep 2006, 21:55;Final result 1:2 (1:2, 0:0);1;Chivas USA;DC United;03 Sep 2006; 1;2 ;2006
177;Chivas USA - DC United;William Hill;+150;+210;+150;Sunday, 03 Sep 2006, 21:55;Final result 1:2 (1:2, 0:0);1;Chivas USA;DC United;03 Sep 2006; 1;2 ;2006
203;Columbus Crew - New England Revolution;bet-at-home;+140;+215;+165;Saturday, 02 Sep 2006, 21:55;Final result 3:0 (2:0, 1:0);1;Columbus Crew;New England Revolution;02 Sep 2006; 3;0 ;2006
204;Columbus Crew - New England Revolution;bet365;+140;+210;+160;Saturday, 02 Sep 2006, 21:55;Final result 3:0 (2:0, 1:0);1;Columbus Crew;New England Revolution;02 Sep 2006; 3;0 ;2006
205;Columbus Crew - New England Revolution;bwin;+135;+204;+179;Saturday, 02 Sep 2006, 21:55;Final result 3:0 (2:0, 1:0);1;Columbus Crew;New England Revolution;02 Sep 2006; 3;0 ;2006
206;Columbus Crew - New England Revolution;William Hill;+140;+210;+160;Saturday, 02 Sep 2006, 21:55;Final result 3:0 (2:0, 1:0);1;Columbus Crew;New England Revolution;02 Sep 2006; 3;0 ;2006
232;FC Dallas - Houston Dynamo;bet365;+100;+220;+220;Saturday, 02 Sep 2006, 21:55;Final result 1:0 (0:0, 1:0);1;FC Dallas;Houston Dynamo;02 Sep 2006; 1;0 ;2006
233;FC Dallas - Houston Dynamo;bwin;-105;+220;+250;Saturday, 02 Sep 2006, 21:55;Final result 1:0 (0:0, 1:0);1;FC Dallas;Houston Dynamo;02 Sep 2006; 1;0 ;2006
234;FC Dallas - Houston Dynamo;William Hill;-139;+225;+320;Saturday, 02 Sep 2006, 21:55;Final result 1:0 (0:0, 1:0);1;FC Dallas;Houston Dynamo;02 Sep 2006; 1;0 ;2006
261;Los Angeles Galaxy - Sporting Kansas City;bet-at-home;+100;+220;+235;Saturday, 02 Sep 2006, 21:55;Final result 2:1 (0:0, 2:1);1;Los Angeles Galaxy;Sporting Kansas City;02 Sep 2006; 2;1 ;2006
262;Los Angeles Galaxy - Sporting Kansas City;bet365;+100;+220;+220;Saturday, 02 Sep 2006, 21:55;Final result 2:1 (0:0, 2:1);1;Los Angeles Galaxy;Sporting Kansas City;02 Sep 2006; 2;1 ;2006
263;Los Angeles Galaxy - Sporting Kansas City;bwin;-105;+220;+250;Saturday, 02 Sep 2006, 21:55;Final result 2:1 (0:0, 2:1);1;Los Angeles Galaxy;Sporting Kansas City;02 Sep 2006; 2;1 ;2006
264;Los Angeles Galaxy - Sporting Kansas City;William Hill;+100;+210;+229;Saturday, 02 Sep 2006, 21:55;Final result 2:1 (0:0, 2:1);1;Los Angeles Galaxy;Sporting Kansas City;02 Sep 2006; 2;1 ;2006
290;Real Salt Lake - Colorado Rapids;bet-at-home;+114;+204;+215;Saturday, 02 Sep 2006, 21:55;Final result 0:1 (0:0, 0:1);1;Real Salt Lake;Colorado Rapids;02 Sep 2006; 0;1 ;2006
291;Real Salt Lake - Colorado Rapids;bet365;+120;+200;+200;Saturday, 02 Sep 2006, 21:55;Final result 0:1 (0:0, 0:1);1;Real Salt Lake;Colorado Rapids;02 Sep 2006; 0;1 ;2006
292;Real Salt Lake - Colorado Rapids;bwin;+114;+195;+225;Saturday, 02 Sep 2006, 21:55;Final result 0:1 (0:0, 0:1);1;Real Salt Lake;Colorado Rapids;02 Sep 2006; 0;1 ;2006
293;Real Salt Lake - Colorado Rapids;William Hill;+100;+220;+220;Saturday, 02 Sep 2006, 21:55;Final result 0:1 (0:0, 0:1);1;Real Salt Lake;Colorado Rapids;02 Sep 2006; 0;1 ;2006
319;Sporting Kansas City - FC Dallas;bet-at-home;+150;+204;+160;Sunday, 27 Aug 2006, 21:55;Final result 1:0 (0:0, 1:0);1;Sporting Kansas City;FC Dallas;27 Aug 2006; 1;0 ;2006
320;Sporting Kansas City - FC Dallas;bet365;+140;+220;+160;Sunday, 27 Aug 2006, 21:55;Final result 1:0 (0:0, 1:0);1;Sporting Kansas City;FC Dallas;27 Aug 2006; 1;0 ;2006
321;Sporting Kansas City - FC Dallas;bwin;+165;+190;+154;Sunday, 27 Aug 2006, 21:55;Final result 1:0 (0:0, 1:0);1;Sporting Kansas City;FC Dallas;27 Aug 2006; 1;0 ;2006
322;Sporting Kansas City - FC Dallas;William Hill;+150;+190;+162;Sunday, 27 Aug 2006, 21:55;Final result 1:0 (0:0, 1:0);1;Sporting Kansas City;FC Dallas;27 Aug 2006; 1;0 ;2006
348;Chicago Fire - FC Dallas;bet-at-home;+120;+210;+200;Saturday, 15 Jul 2006, 20:00;Final result 2:3 (0:1, 2:2);1;Chicago Fire;FC Dallas;15 Jul 2006; 2;3 ;2006
