index;TeamsRaw;Bookmaker;OddHome;OddDraw;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
38;FC Cincinnati - Orlando City;GGBET;+135;+276;+179;Yesterday, 24 Jun 2022, 23:30;Final result 1:0 (0:0, 1:0);1;FC Cincinnati;Orlando City;24 Jun 2022; 1;0 ;CurrentSeason
39;FC Cincinnati - Orlando City;Lasbet;+137;+270;+192;Yesterday, 24 Jun 2022, 23:30;Final result 1:0 (0:0, 1:0);1;FC Cincinnati;Orlando City;24 Jun 2022; 1;0 ;CurrentSeason
40;FC Cincinnati - Orlando City;Marathonbet;+135;+268;+184;Yesterday, 24 Jun 2022, 23:30;Final result 1:0 (0:0, 1:0);1;FC Cincinnati;Orlando City;24 Jun 2022; 1;0 ;CurrentSeason
41;FC Cincinnati - Orlando City;N1 Bet;+131;+245;+188;Yesterday, 24 Jun 2022, 23:30;Final result 1:0 (0:0, 1:0);1;FC Cincinnati;Orlando City;24 Jun 2022; 1;0 ;CurrentSeason
42;FC Cincinnati - Orlando City;Parimatch;+133;+260;+190;Yesterday, 24 Jun 2022, 23:30;Final result 1:0 (0:0, 1:0);1;FC Cincinnati;Orlando City;24 Jun 2022; 1;0 ;CurrentSeason
43;FC Cincinnati - Orlando City;Pinnacle;+138;+267;+199;Yesterday, 24 Jun 2022, 23:30;Final result 1:0 (0:0, 1:0);1;FC Cincinnati;Orlando City;24 Jun 2022; 1;0 ;CurrentSeason
44;FC Cincinnati - Orlando City;Unibet;+127;+265;+185;Yesterday, 24 Jun 2022, 23:30;Final result 1:0 (0:0, 1:0);1;FC Cincinnati;Orlando City;24 Jun 2022; 1;0 ;CurrentSeason
45;FC Cincinnati - Orlando City;VOBET;+133;+262;+187;Yesterday, 24 Jun 2022, 23:30;Final result 1:0 (0:0, 1:0);1;FC Cincinnati;Orlando City;24 Jun 2022; 1;0 ;CurrentSeason
46;FC Cincinnati - Orlando City;William Hill;+129;+250;+188;Yesterday, 24 Jun 2022, 23:30;Final result 1:0 (0:0, 1:0);1;FC Cincinnati;Orlando City;24 Jun 2022; 1;0 ;CurrentSeason
58;Nashville SC - Sporting Kansas City;10x10bet;-149;+278;+450;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
59;Nashville SC - Sporting Kansas City;1xBet;-147;+290;+415;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
60;Nashville SC - Sporting Kansas City;bet-at-home;-149;+254;+400;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
61;Nashville SC - Sporting Kansas City;bet365;-139;+260;+400;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
62;Nashville SC - Sporting Kansas City;BetFinal;-154;+260;+375;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
63;Nashville SC - Sporting Kansas City;bwin;-147;+260;+400;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
64;Nashville SC - Sporting Kansas City;Coolbet;-137;+285;+375;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
65;Nashville SC - Sporting Kansas City;Curebet;-149;+278;+450;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
66;Nashville SC - Sporting Kansas City;Ditobet;-159;+260;+420;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
67;Nashville SC - Sporting Kansas City;GGBET;-135;+274;+382;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
68;Nashville SC - Sporting Kansas City;Lasbet;-147;+283;+459;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
69;Nashville SC - Sporting Kansas City;Marathonbet;-152;+290;+425;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
70;Nashville SC - Sporting Kansas City;N1 Bet;-147;+260;+405;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
71;Nashville SC - Sporting Kansas City;Parimatch;-143;+265;+430;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
72;Nashville SC - Sporting Kansas City;Pinnacle;-135;+271;+438;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
73;Nashville SC - Sporting Kansas City;Unibet;-147;+260;+420;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
74;Nashville SC - Sporting Kansas City;VOBET;-152;+273;+440;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
75;Nashville SC - Sporting Kansas City;William Hill;-149;+270;+400;Sunday, 19 Jun 2022, 22:00;Final result 1:2 (0:1, 1:1);1;Nashville SC;Sporting Kansas City;19 Jun 2022; 1;2 ;CurrentSeason
87;New England Revolution - Minnesota United;10x10bet;-139;+309;+359;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
88;New England Revolution - Minnesota United;1xBet;-137;+320;+332;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
89;New England Revolution - Minnesota United;bet-at-home;-141;+285;+320;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
90;New England Revolution - Minnesota United;bet365;-139;+300;+350;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
91;New England Revolution - Minnesota United;BetFinal;-145;+280;+333;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
92;New England Revolution - Minnesota United;bwin;-147;+300;+340;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
93;New England Revolution - Minnesota United;Coolbet;-133;+320;+320;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
94;New England Revolution - Minnesota United;Curebet;-139;+309;+359;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
95;New England Revolution - Minnesota United;Ditobet;-147;+288;+333;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
96;New England Revolution - Minnesota United;GGBET;-135;+315;+330;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
97;New England Revolution - Minnesota United;Lasbet;-137;+309;+359;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
98;New England Revolution - Minnesota United;Marathonbet;-141;+325;+334;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
99;New England Revolution - Minnesota United;N1 Bet;-139;+292;+326;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
100;New England Revolution - Minnesota United;Parimatch;-143;+300;+375;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
101;New England Revolution - Minnesota United;Pinnacle;-135;+315;+368;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
102;New England Revolution - Minnesota United;Unibet;-141;+280;+359;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
103;New England Revolution - Minnesota United;VOBET;-141;+300;+350;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
104;New England Revolution - Minnesota United;William Hill;-143;+290;+340;Sunday, 19 Jun 2022, 21:00;Final result 2:1 (0:1, 2:0);1;New England Revolution;Minnesota United;19 Jun 2022; 2;1 ;CurrentSeason
116;Philadelphia Union - FC Cincinnati;10x10bet;-182;+333;+480;Saturday, 18 Jun 2022, 23:30;Final result 1:1 (1:1, 0:0);1;Philadelphia Union;FC Cincinnati;18 Jun 2022; 1;1 ;CurrentSeason
117;Philadelphia Union - FC Cincinnati;1xBet;-179;+313;+505;Saturday, 18 Jun 2022, 23:30;Final result 1:1 (1:1, 0:0);1;Philadelphia Union;FC Cincinnati;18 Jun 2022; 1;1 ;CurrentSeason
118;Philadelphia Union - FC Cincinnati;bet-at-home;-192;+330;+440;Saturday, 18 Jun 2022, 23:30;Final result 1:1 (1:1, 0:0);1;Philadelphia Union;FC Cincinnati;18 Jun 2022; 1;1 ;CurrentSeason
119;Philadelphia Union - FC Cincinnati;bet365;-189;+350;+500;Saturday, 18 Jun 2022, 23:30;Final result 1:1 (1:1, 0:0);1;Philadelphia Union;FC Cincinnati;18 Jun 2022; 1;1 ;CurrentSeason
120;Philadelphia Union - FC Cincinnati;BetFinal;-208;+320;+450;Saturday, 18 Jun 2022, 23:30;Final result 1:1 (1:1, 0:0);1;Philadelphia Union;FC Cincinnati;18 Jun 2022; 1;1 ;CurrentSeason
121;Philadelphia Union - FC Cincinnati;bwin;-192;+320;+475;Saturday, 18 Jun 2022, 23:30;Final result 1:1 (1:1, 0:0);1;Philadelphia Union;FC Cincinnati;18 Jun 2022; 1;1 ;CurrentSeason
122;Philadelphia Union - FC Cincinnati;Coolbet;-167;+320;+440;Saturday, 18 Jun 2022, 23:30;Final result 1:1 (1:1, 0:0);1;Philadelphia Union;FC Cincinnati;18 Jun 2022; 1;1 ;CurrentSeason
123;Philadelphia Union - FC Cincinnati;Curebet;-182;+333;+480;Saturday, 18 Jun 2022, 23:30;Final result 1:1 (1:1, 0:0);1;Philadelphia Union;FC Cincinnati;18 Jun 2022; 1;1 ;CurrentSeason
124;Philadelphia Union - FC Cincinnati;Ditobet;-196;+309;+450;Saturday, 18 Jun 2022, 23:30;Final result 1:1 (1:1, 0:0);1;Philadelphia Union;FC Cincinnati;18 Jun 2022; 1;1 ;CurrentSeason
125;Philadelphia Union - FC Cincinnati;GGBET;-182;+348;+455;Saturday, 18 Jun 2022, 23:30;Final result 1:1 (1:1, 0:0);1;Philadelphia Union;FC Cincinnati;18 Jun 2022; 1;1 ;CurrentSeason
126;Philadelphia Union - FC Cincinnati;Lasbet;-179;+340;+490;Saturday, 18 Jun 2022, 23:30;Final result 1:1 (1:1, 0:0);1;Philadelphia Union;FC Cincinnati;18 Jun 2022; 1;1 ;CurrentSeason
