MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,1xBet_H,1xBet_A,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Coolbet_H,Coolbet_A,Pinnacle_H,Pinnacle_A,Unibet_H,Unibet_A,William Hill_H,William Hill_A,BetJoe_H,BetJoe_A
855,2018,Fubon Guardians,Rakuten Monkeys,2018-05-05,7,4,1.87,1.94,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
856,2018,Chinatrust Brothers,Uni Lions,2018-05-04,5,4,2.38,1.59,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
857,2018,Fubon Guardians,Rakuten Monkeys,2018-05-04,10,5,2.09,1.76,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
858,2018,Chinatrust Brothers,Fubon Guardians,2018-05-03,2,4,2.09,1.76,1.95,1.75,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
859,2018,Uni Lions,Rakuten Monkeys,2018-05-03,2,0,2.0,1.83,2.1,1.65,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
860,2018,Chinatrust Brothers,Fubon Guardians,2018-05-02,2,1,2.3,1.63,1.8,1.9,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
861,2018,Uni Lions,Rakuten Monkeys,2018-05-01,6,5,2.08,1.76,2.02,1.7,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
862,2018,Rakuten Monkeys,Chinatrust Brothers,2018-04-29,5,4,1.41,2.95,1.4,2.7,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
863,2018,Uni Lions,Fubon Guardians,2018-04-29,8,3,1.92,1.89,1.75,1.95,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
864,2018,Rakuten Monkeys,Chinatrust Brothers,2018-04-28,11,4,1.45,2.79,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
865,2018,Uni Lions,Fubon Guardians,2018-04-28,5,1,1.91,1.9,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
866,2018,Rakuten Monkeys,Chinatrust Brothers,2018-04-27,9,5,1.44,2.81,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
867,2018,Uni Lions,Fubon Guardians,2018-04-27,7,6,1.56,2.46,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
868,2018,Rakuten Monkeys,Fubon Guardians,2018-04-26,5,14,1.6,2.36,1.55,2.3,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
869,2018,Uni Lions,Chinatrust Brothers,2018-04-26,6,9,1.5,2.62,1.5,2.4,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
870,2018,Rakuten Monkeys,Fubon Guardians,2018-04-25,8,7,1.46,2.72,1.45,2.55,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
871,2018,Uni Lions,Chinatrust Brothers,2018-04-24,12,2,1.6,2.36,1.57,2.25,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
872,2018,Fubon Guardians,Chinatrust Brothers,2018-04-22,1,0,1.49,2.65,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
873,2018,Rakuten Monkeys,Uni Lions,2018-04-22,4,5,1.48,2.69,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
874,2018,Fubon Guardians,Chinatrust Brothers,2018-04-21,4,15,1.57,2.42,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
875,2018,Rakuten Monkeys,Uni Lions,2018-04-21,15,14,1.62,2.32,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
876,2018,Fubon Guardians,Chinatrust Brothers,2018-04-20,7,2,1.6,2.37,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
877,2018,Rakuten Monkeys,Uni Lions,2018-04-20,5,4,1.61,2.34,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
878,2018,Chinatrust Brothers,Rakuten Monkeys,2018-04-19,7,10,3.05,1.38,2.95,1.35,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
879,2018,Fubon Guardians,Uni Lions,2018-04-19,0,5,1.81,2.02,1.75,1.95,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
880,2018,Chinatrust Brothers,Rakuten Monkeys,2018-04-18,4,6,2.76,1.46,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
881,2020,Fubon Guardians,Chinatrust Brothers,2020-04-26,5,4,1.75,1.99,Na,Na,1.74,1.95,1.75,1.95,1.8,1.98,1.77,1.98,1.94,1.83,1.7,2.05,Na,Na
882,2020,Uni Lions,Rakuten Monkeys,2020-04-26,12,5,3.09,1.34,2.88,1.33,2.9,1.41,3.2,1.33,2.99,1.38,2.93,1.36,2.8,1.41,2.75,1.4,Na,Na
883,2020,Fubon Guardians,Chinatrust Brothers,2020-04-25,5,6,1.51,2.44,Na,Na,1.5,2.5,1.62,2.2,1.57,2.37,1.55,2.33,1.55,2.38,1.62,2.2,Na,Na
884,2020,Uni Lions,Rakuten Monkeys,2020-04-25,8,7,2.67,1.43,2.67,1.38,2.95,1.4,2.85,1.4,2.73,1.44,2.83,1.38,2.75,1.42,2.75,1.4,Na,Na
885,2020,Fubon Guardians,Chinatrust Brothers,2020-04-24,0,11,1.99,1.76,Na,Na,2.2,1.62,2.3,1.57,2.16,1.67,2.14,1.65,2.38,1.55,2.3,1.57,Na,Na
886,2020,Uni Lions,Rakuten Monkeys,2020-04-24,4,14,2.46,1.5,2.54,1.41,2.5,1.5,2.4,1.5,2.47,1.53,2.56,1.46,2.6,1.47,2.62,1.44,Na,Na
887,2020,Chinatrust Brothers,Rakuten Monkeys,2020-04-23,1,4,2.78,1.4,Na,Na,2.8,1.43,3.1,1.36,2.62,1.48,2.43,1.49,2.9,1.4,3.25,1.33,2.73,1.4
888,2020,Chinatrust Brothers,Rakuten Monkeys,2020-04-22,2,3,2.33,1.56,Na,Na,2.7,1.45,2.75,1.4,2.4,1.55,2.28,1.56,3.0,1.37,3.0,1.36,2.65,1.42
889,2020,Fubon Guardians,Uni Lions,2020-04-22,5,9,1.41,2.77,1.4,2.61,1.48,2.55,1.5,2.4,1.42,2.81,1.37,2.77,1.49,2.55,1.44,2.62,1.47,2.52
890,2020,Fubon Guardians,Uni Lions,2020-04-21,13,2,1.41,2.77,1.33,2.87,1.31,3.3,1.3,3.2,1.38,2.99,1.32,2.94,1.32,3.25,1.36,3.0,1.29,3.25
891,2020,Chinatrust Brothers,Uni Lions,2020-04-19,4,7,1.42,2.71,Na,Na,1.38,3.0,1.45,2.55,1.42,2.8,1.41,2.77,1.42,2.85,1.4,2.75,1.33,2.87
892,2020,Rakuten Monkeys,Fubon Guardians,2020-04-19,3,1,2.66,1.43,2.47,1.44,3.05,1.37,2.5,1.48,2.68,1.46,2.62,1.41,2.7,1.44,2.62,1.44,2.92,1.32
893,2020,Chinatrust Brothers,Uni Lions,2020-04-18,6,2,1.54,2.37,Na,Na,1.52,2.45,1.55,2.3,1.56,2.38,1.55,2.36,1.6,2.28,1.57,2.3,1.49,2.34
894,2020,Rakuten Monkeys,Fubon Guardians,2020-04-18,12,9,1.61,2.22,1.5,2.3,1.5,2.5,1.5,2.4,1.55,2.42,1.53,2.4,1.55,2.38,1.5,2.5,1.45,2.43
895,2020,Chinatrust Brothers,Uni Lions,2020-04-17,6,1,1.51,2.44,Na,Na,1.5,2.5,1.53,2.45,1.52,2.48,1.51,2.46,1.5,2.5,1.5,2.5,1.48,2.48
896,2020,Rakuten Monkeys,Fubon Guardians,2020-04-17,11,10,1.62,2.21,1.54,2.22,1.6,2.25,1.65,2.2,1.59,2.31,1.58,2.29,1.58,2.3,1.67,2.1,1.59,2.22
897,2020,Rakuten Monkeys,Uni Lions,2020-04-16,15,3,1.73,2.02,1.95,1.7,1.71,2.0,1.7,2.05,1.47,2.57,1.88,1.86,1.93,1.92,1.8,1.91,1.72,2.01
898,2020,Chinatrust Brothers,Fubon Guardians,2020-04-15,6,7,1.96,1.78,Na,Na,1.9,1.76,2.2,1.6,1.9,1.87,1.88,1.85,2.02,1.8,2.3,1.57,2.22,1.59
899,2020,Rakuten Monkeys,Uni Lions,2020-04-15,9,8,1.44,2.66,1.45,2.44,1.48,2.55,1.48,2.5,1.43,2.78,1.42,2.74,1.47,2.7,1.5,2.5,1.47,2.52
900,2020,Chinatrust Brothers,Fubon Guardians,2020-04-14,1,3,1.98,1.65,Na,Na,1.9,1.76,1.95,1.75,2.18,1.66,2.06,1.71,1.97,1.82,1.8,1.87,1.92,1.79
901,2020,Chinatrust Brothers,Uni Lions,2020-04-12,1,4,1.36,2.49,Na,Na,1.52,2.45,1.7,2.05,1.57,2.36,1.56,2.34,1.58,2.35,1.6,2.2,1.5,2.42
