Home_id;Away_id;Bookmaker;OddHome;OddDraw;OddAway;Date;Score_home;Score_away;Season
Houston Dynamo;New England Revolution;bet365;+154;+200;+154;12 Nov 2006; 2;1 ;2006
Houston Dynamo;Colorado Rapids;bet365;-111;+220;+250;05 Nov 2006; 3;1 ;2006
Houston Dynamo;Colorado Rapids;William Hill;-105;+220;+229;05 Nov 2006; 3;1 ;2006
DC United;New England Revolution;bet-at-home;-111;+220;+265;05 Nov 2006; 0;1 ;2006
DC United;New England Revolution;bwin;-125;+225;+300;05 Nov 2006; 0;1 ;2006
DC United;New England Revolution;William Hill;-125;+225;+280;05 Nov 2006; 0;1 ;2006
DC United;New York Red Bulls;bet-at-home;-154;+245;+359;29 Oct 2006; 1;1 ;2006
DC United;New York Red Bulls;bet365;-154;+240;+375;29 Oct 2006; 1;1 ;2006
DC United;New York Red Bulls;bwin;-154;+240;+375;29 Oct 2006; 1;1 ;2006
DC United;New York Red Bulls;William Hill;-167;+240;+380;29 Oct 2006; 1;1 ;2006
Houston Dynamo;Chivas USA;bet365;-111;+220;+260;29 Oct 2006; 2;0 ;2006
Houston Dynamo;Chivas USA;bwin;-105;+210;+260;29 Oct 2006; 2;0 ;2006
Houston Dynamo;Chivas USA;William Hill;-111;+210;+260;29 Oct 2006; 2;0 ;2006
Chicago Fire;New York Red Bulls;bet-at-home;-111;+220;+265;03 Sep 2006; 2;1 ;2006
Chicago Fire;New York Red Bulls;bwin;-118;+215;+295;03 Sep 2006; 2;1 ;2006
Chicago Fire;New York Red Bulls;William Hill;-120;+220;+275;03 Sep 2006; 2;1 ;2006
Chivas USA;DC United;bet-at-home;+140;+204;+175;03 Sep 2006; 1;2 ;2006
Chivas USA;DC United;bet365;+150;+210;+150;03 Sep 2006; 1;2 ;2006
Chivas USA;DC United;bwin;+135;+200;+185;03 Sep 2006; 1;2 ;2006
Chivas USA;DC United;William Hill;+150;+210;+150;03 Sep 2006; 1;2 ;2006
Columbus Crew;New England Revolution;bet-at-home;+140;+215;+165;02 Sep 2006; 3;0 ;2006
Columbus Crew;New England Revolution;bet365;+140;+210;+160;02 Sep 2006; 3;0 ;2006
Columbus Crew;New England Revolution;bwin;+135;+204;+179;02 Sep 2006; 3;0 ;2006
Columbus Crew;New England Revolution;William Hill;+140;+210;+160;02 Sep 2006; 3;0 ;2006
