MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,Unibet_H,Unibet_A,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Pinnacle_H,Pinnacle_A,William Hill_H,William Hill_A,Marathonbet_H,Marathonbet_A,1xBet_H,1xBet_A,Coolbet_H,Coolbet_A,Betago_H,Betago_A
16,2007-2008,Turk Telekom,Galatasaray,2008-07-05,73,68,1.42,3.1597685803293283,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
17,2007-2008,Fenerbahce,Antalya BB,2008-06-05,81,76,1.13,8.123652048885695,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
18,2007-2008,Anadolu Efes,Pinar Karsiyaka,2008-06-05,78,56,1.22,5.182667799490231,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
19,2007-2008,Turk Telekom,Galatasaray,2008-05-05,78,71,1.42,3.1597685803293283,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
20,2007-2008,Anadolu Efes,Pinar Karsiyaka,2008-04-05,73,79,1.18,6.126687435098653,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
21,2007-2008,Ankara Kolejliler,Besiktas,2008-04-27,91,95,3.25,1.349948078920041,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
22,2007-2008,Beykozspor,Turk Telekom,2008-04-27,88,99,3.25,1.349948078920041,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
23,2007-2008,Darussafaka,Bandirma,2008-04-27,85,93,1.67,2.329474124703585,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
24,2007-2008,Mersin BSB,Antalya BB,2008-04-27,71,70,1.67,2.329474124703585,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
25,2007-2008,Pinar Karsiyaka,Trabzonspor,2008-04-27,92,69,1.1,10.280373831775695,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
26,2007-2008,Galatasaray,Anadolu Efes,2008-04-27,92,76,1.52,2.731847591660676,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
27,2007-2008,Kepez Bld.,Oyak Renault,2008-04-26,63,54,1.67,2.329474124703585,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
28,2007-2008,Fenerbahce,Konyaspor,2008-04-26,122,66,1.06,15.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
29,2007-2008,Galatasaray,Konyaspor,2008-04-23,89,71,1.06,15.0,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
30,2007-2008,Turk Telekom,Fenerbahce,2008-04-20,84,72,1.67,2.329474124703585,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
31,2007-2008,Bandirma,Mersin BSB,2008-04-20,99,97,1.42,3.1597685803293283,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
32,2007-2008,Konyaspor,Kepez Bld.,2008-04-20,92,87,1.8,2.102803738317757,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
33,2007-2008,Trabzonspor,Ankara Kolejliler,2008-04-20,64,71,1.9,1.9730010384215988,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
34,2007-2008,Beykozspor,Besiktas,2008-04-20,75,86,4.2,1.2266355140186915,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
35,2007-2008,Oyak Renault,Galatasaray,2008-04-20,83,78,2.8,1.453790238836968,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
36,2007-2008,Anadolu Efes,Darussafaka,2008-04-19,102,100,1.13,8.123652048885695,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
37,2007-2008,Antalya BB,Pinar Karsiyaka,2008-04-19,89,78,1.42,3.1597685803293283,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
