"","Div","Date","Home_id","Away_id","Score_home","Score_away","B365_OT_H","B365_OT_D","B365_OT_A","SEASON"
"1","D2",2002-08-10,"Duisburg","Greuther Furth",1,0,2.1,3.2,3,2003
"2","D2",2002-08-10,"Ein Trier","Burghausen",2,1,2,3.2,3.2,2003
"3","D2",2002-08-10,"Union Berlin","Mainz",0,2,1.909,3.25,3.4,2003
"4","D2",2002-08-11,"Aachen","Freiburg",0,1,2.625,3.2,2.3,2003
"5","D2",2002-08-11,"Ahlen","Reutlingen",2,0,1.833,3.2,3.75,2003
"6","D2",2002-08-11,"Braunschweig","Mannheim",4,2,2.1,3.25,2.9,2003
"7","D2",2002-08-11,"Ein Frankfurt","St Pauli",4,0,2.2,3.25,2.75,2003
"8","D2",2002-08-11,"Lubeck","Oberhausen",1,0,2.1,3.2,3,2003
"9","D2",2002-08-12,"Karlsruhe","FC Koln",0,1,2.5,3.1,2.5,2003
"10","D2",2002-08-16,"FC Koln","Duisburg",4,3,1.615,3.25,5,2003
"11","D2",2002-08-16,"Greuther Furth","Aachen",0,0,1.667,3.25,4.5,2003
"12","D2",2002-08-16,"Mannheim","Union Berlin",1,2,2.1,3.2,3,2003
"13","D2",2002-08-18,"Burghausen","Karlsruhe",0,0,2.25,3.2,2.75,2003
"14","D2",2002-08-18,"Oberhausen","Braunschweig",2,0,1.909,3.25,3.4,2003
"15","D2",2002-08-18,"Reutlingen","Lubeck",1,3,1.833,3.25,3.6,2003
"16","D2",2002-08-18,"St Pauli","Ahlen",1,4,1.8,3.25,3.75,2003
"17","D2",2002-08-19,"Freiburg","Ein Frankfurt",0,2,1.727,3.2,4.333,2003
"18","D2",2002-08-23,"Ein Frankfurt","Greuther Furth",2,0,1.727,3.2,4.333,2003
"19","D2",2002-08-23,"Ein Trier","Karlsruhe",3,0,2.2,3.25,2.75,2003
"20","D2",2002-08-23,"Lubeck","St Pauli",6,0,2.1,3.25,2.875,2003
"21","D2",2002-08-25,"Ahlen","Freiburg",1,3,2.4,3.25,2.5,2003
"22","D2",2002-08-25,"Braunschweig","Reutlingen",1,2,1.8,3.25,3.75,2003
"23","D2",2002-08-25,"Duisburg","Burghausen",0,0,1.615,3.5,4.5,2003
"24","D2",2002-08-25,"Mainz","Mannheim",2,0,1.667,3.25,4.5,2003
"25","D2",2002-08-25,"Union Berlin","Oberhausen",0,0,1.727,3.2,4.333,2003
"26","D2",2002-08-26,"Aachen","FC Koln",0,0,2.75,3.2,2.25,2003
"27","D2",2002-09-10,"Burghausen","Aachen",2,2,2,3.2,3.2,2003
"28","D2",2002-09-10,"FC Koln","Ein Frankfurt",3,2,1.909,3.25,3.4,2003
"29","D2",2002-09-10,"Greuther Furth","Ahlen",1,1,1.909,3.25,3.4,2003
"30","D2",2002-09-10,"Karlsruhe","Duisburg",1,1,2.2,3.25,2.75,2003
"31","D2",2002-09-10,"Mannheim","Ein Trier",0,2,2,3.2,3.2,2003
"32","D2",2002-09-11,"Freiburg","Lubeck",2,1,1.667,3.25,4.5,2003
"33","D2",2002-09-11,"Oberhausen","Mainz",1,0,2.5,3.1,2.5,2003
"34","D2",2002-09-11,"Reutlingen","Union Berlin",0,1,2.25,3.2,2.75,2003
"35","D2",2002-09-11,"St Pauli","Braunschweig",7,1,1.909,3.25,3.4,2003
"36","D2",2002-09-13,"Aachen","Karlsruhe",2,0,1.909,3.25,3.4,2003
"37","D2",2002-09-13,"Ahlen","FC Koln",0,0,2.5,3.25,2.375,2003
"38","D2",2002-09-13,"Ein Trier","Duisburg",3,0,2,3.2,3.2,2003
"39","D2",2002-09-15,"Ein Frankfurt","Burghausen",0,2,1.444,3.75,6,2003
"40","D2",2002-09-15,"Lubeck","Greuther Furth",1,2,1.8,3.25,3.8,2003
"41","D2",2002-09-15,"Mainz","Reutlingen",1,3,1.533,3.25,5.2,2003
"42","D2",2002-09-15,"Mannheim","Oberhausen",1,0,1.909,3.2,3.2,2003
"43","D2",2002-09-15,"Union Berlin","St Pauli",4,2,1.727,3.25,4.2,2003
"44","D2",2002-09-16,"Braunschweig","Freiburg",0,2,2.875,3.3,2.1,2003
"45","D2",2002-09-20,"Burghausen","Ahlen",3,1,2.375,3.25,2.5,2003
"46","D2",2002-09-20,"Duisburg","Aachen",3,3,1.8,3.25,3.75,2003
"47","D2",2002-09-20,"Reutlingen","Mannheim",3,2,1.8,3.25,3.75,2003
"48","D2",2002-09-22,"FC Koln","Lubeck",2,1,1.615,3.4,5,2003
"49","D2",2002-09-22,"Freiburg","Union Berlin",4,0,1.727,3.4,4,2003
"50","D2",2002-09-22,"Greuther Furth","Braunschweig",3,0,1.667,3.4,4.333,2003
"51","D2",2002-09-22,"Oberhausen","Ein Trier",2,1,2.1,3.2,2.875,2003
"52","D2",2002-09-22,"St Pauli","Mainz",1,4,2.2,3.2,2.625,2003
"53","D2",2002-09-23,"Karlsruhe","Ein Frankfurt",0,2,2.625,3.25,2.25,2003
"54","D2",2002-09-27,"Braunschweig","FC Koln",1,1,3.75,3.25,1.83,2003
"55","D2",2002-09-27,"Mannheim","St Pauli",2,5,2,3.2,3.2,2003
"56","D2",2002-09-27,"Union Berlin","Greuther Furth",2,2,1.8,3.25,3.75,2003
"57","D2",2002-09-29,"Ahlen","Karlsruhe",2,2,1.62,3.5,4.5,2003
"58","D2",2002-09-29,"Ein Frankfurt","Duisburg",2,1,1.62,3.5,4.5,2003
"59","D2",2002-09-29,"Ein Trier","Aachen",4,1,1.8,3.25,3.75,2003
"60","D2",2002-09-29,"Lubeck","Burghausen",3,1,1.8,3.25,3.75,2003
"61","D2",2002-09-29,"Oberhausen","Reutlingen",3,1,1.727,3.4,4,2003
"62","D2",2002-09-30,"Mainz","Freiburg",0,0,2.4,3.25,2.5,2003
"63","D2",2002-10-04,"Burghausen","Braunschweig",4,2,1.667,3.4,4.333,2003
"64","D2",2002-10-04,"Freiburg","Mannheim",4,1,1.333,4,8,2003
"65","D2",2002-10-04,"St Pauli","Oberhausen",0,0,2.2,3.25,2.75,2003
"66","D2",2002-10-06,"Aachen","Ein Frankfurt",1,0,2.625,3.2,2.3,2003
"67","D2",2002-10-06,"Duisburg","Ahlen",2,1,2.1,3.2,3,2003
"68","D2",2002-10-06,"Greuther Furth","Mainz",2,0,2.25,3.2,2.75,2003
"69","D2",2002-10-06,"Karlsruhe","Lubeck",1,2,2.25,3.2,2.75,2003
"70","D2",2002-10-06,"Reutlingen","Ein Trier",3,2,2,3.2,3.2,2003
"71","D2",2002-10-07,"FC Koln","Union Berlin",7,0,1.7,3.2,4.5,2003
"72","D2",2002-10-18,"Ahlen","Aachen",1,2,1.909,3.25,3.4,2003
"73","D2",2002-10-18,"Ein Trier","Ein Frankfurt",2,2,2.25,3.2,2.75,2003
"74","D2",2002-10-18,"Lubeck","Duisburg",1,1,1.667,3.4,4.333,2003
"75","D2",2002-10-20,"Braunschweig","Karlsruhe",1,2,1.909,3.25,3.4,2003
"76","D2",2002-10-20,"Mannheim","Greuther Furth",0,0,2.5,3.25,2.4,2003
"77","D2",2002-10-20,"Oberhausen","Freiburg",1,0,2.5,3.1,2.5,2003
"78","D2",2002-10-20,"Reutlingen","St Pauli",2,0,1.909,3.25,3.4,2003
"79","D2",2002-10-20,"Union Berlin","Burghausen",2,2,1.8,3.3,3.75,2003
"80","D2",2002-10-21,"Mainz","FC Koln",2,2,2.5,3.1,2.5,2003
"81","D2",2002-10-25,"Aachen","Lubeck",4,1,2.1,3.25,2.875,2003
"82","D2",2002-10-25,"Burghausen","Mainz",0,2,2.2,3.2,2.8,2003
"83","D2",2002-10-25,"FC Koln","Mannheim",3,1,1.3,4.333,8,2003
"84","D2",2002-10-27,"Ein Frankfurt","Ahlen",4,1,1.615,3.5,4.5,2003
"85","D2",2002-10-27,"Freiburg","Reutlingen",1,4,1.533,3.6,5,2003
"86","D2",2002-10-27,"Greuther Furth","Oberhausen",2,2,1.909,3.25,3.4,2003
"87","D2",2002-10-27,"Karlsruhe","Union Berlin",3,2,2.25,3.4,2.625,2003
"88","D2",2002-10-27,"St Pauli","Ein Trier",0,0,2.1,3.25,2.875,2003
"89","D2",2002-10-28,"Duisburg","Braunschweig",1,1,1.5,3.75,5.5,2003
"90","D2",2002-11-01,"Lubeck","Ein Frankfurt",1,3,2.375,3.1,2.625,2003
"91","D2",2002-11-01,"Oberhausen","FC Koln",2,2,2.4,3.2,2.5,2003
"92","D2",2002-11-01,"St Pauli","Freiburg",0,1,2.625,3.1,2.375,2003
"93","D2",2002-11-01,"Union Berlin","Duisburg",0,0,2,3.2,3.2,2003
"94","D2",2002-11-03,"Braunschweig","Aachen",2,3,2.5,3.1,2.5,2003
"95","D2",2002-11-03,"Ein Trier","Ahlen",2,1,1.727,3.2,4.333,2003
"96","D2",2002-11-03,"Mannheim","Burghausen",0,4,2.4,3.2,2.5,2003
"97","D2",2002-11-03,"Reutlingen","Greuther Furth",2,4,1.909,3.25,3.4,2003
"98","D2",2002-11-04,"Mainz","Karlsruhe",2,2,1.727,3.2,4.333,2003
"99","D2",2002-11-08,"Aachen","Union Berlin",3,0,1.8,3.25,3.75,2003
"100","D2",2002-11-08,"Burghausen","Oberhausen",3,0,2.25,3.2,2.75,2003
"101","D2",2002-11-08,"Ein Frankfurt","Braunschweig",0,0,1.3,4.33,8,2003
"102","D2",2002-11-10,"Ahlen","Lubeck",1,0,2.25,3.2,2.75,2003
"103","D2",2002-11-10,"Duisburg","Mainz",1,0,2.25,3.2,2.7,2003
"104","D2",2002-11-10,"FC Koln","Reutlingen",1,1,1.57,3.5,5,2003
"105","D2",2002-11-10,"Greuther Furth","St Pauli",2,1,1.66,3.25,4.5,2003
"106","D2",2002-11-10,"Karlsruhe","Mannheim",1,1,1.72,3.25,4,2003
"107","D2",2002-11-11,"Freiburg","Ein Trier",1,0,1.66,3.25,4.5,2003
"108","D2",2002-11-15,"Braunschweig","Ahlen",1,0,2.3,3.2,2.625,2003
"109","D2",2002-11-15,"Mainz","Aachen",3,1,2,3.2,3.2,2003
"110","D2",2002-11-15,"Union Berlin","Ein Frankfurt",1,1,2.5,3.1,2.5,2003
"111","D2",2002-11-17,"Ein Trier","Lubeck",1,3,1.727,3.2,4.333,2003
"112","D2",2002-11-17,"Freiburg","Greuther Furth",1,1,1.727,3.2,4.333,2003
