MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,1xBet_H,1xBet_D,1xBet_A,bet-at-home_H,bet-at-home_D,bet-at-home_A,bet365_H,bet365_D,bet365_A,bwin_H,bwin_D,bwin_A,Marathonbet_H,Marathonbet_D,Marathonbet_A,Pinnacle_H,Pinnacle_D,Pinnacle_A,Unibet_H,Unibet_D,Unibet_A,William Hill_H,William Hill_D,William Hill_A
38,2016,Vitoria,America MG,2016-08-28,2,1,-139,280,465,-156,258,395,-161,275,450,-161,270,375,-143,280,480,-145,292,455,-154,250,425,425,425,425
39,2016,Athletico-PR,Palmeiras,2016-08-14,0,1,152,244,198,140,221,175,140,220,175,135,220,175,150,245,198,150,241,200,145,220,175,175,175,175
40,2016,Cruzeiro,Coritiba,2016-08-14,2,2,-122,280,376,-141,249,358,-137,250,350,-154,250,375,-125,280,384,-154,290,515,-182,280,500,500,500,500
41,2016,Vitoria,Santa Cruz,2016-08-14,2,2,-109,270,330,-112,242,271,-110,240,260,-111,240,260,-111,270,334,-123,277,379,-125,240,325,325,325,325
42,2016,Gremio,Corinthians,2016-08-14,3,0,112,250,278,104,229,234,100,225,250,-118,225,300,110,250,280,122,231,266,114,220,229,229,229,229
43,2016,Flamengo RJ,Athletico-PR,2016-08-06,1,0,-109,250,363,-130,237,337,-125,250,350,-133,240,325,-111,250,370,-133,264,455,-143,250,400,400,400,400
44,2016,Chapecoense-SC,Palmeiras,2016-08-05,1,1,209,240,147,175,220,141,200,240,129,190,220,125,210,240,145,181,238,167,170,220,150,150,150,150
45,2016,Cruzeiro,Internacional,2016-08-05,4,2,142,240,218,-102,219,269,110,229,250,114,210,220,140,240,218,-102,244,333,-133,240,370,370,370,370
46,2016,Gremio,Santa Cruz,2016-08-04,0,0,-196,350,620,-244,324,589,-227,320,650,-250,309,600,-200,350,630,-270,419,873,-286,375,700,700,700,700
47,2016,Sao Paulo,Atletico-MG,2016-08-04,1,2,122,244,256,127,220,198,125,225,220,120,220,200,120,245,256,150,241,200,140,220,179,179,179,179
48,2016,Ponte Preta,Botafogo RJ,2016-08-04,2,0,122,240,260,102,220,254,100,229,280,100,210,260,120,240,262,112,242,279,104,220,260,260,260,260
49,2016,Athletico-PR,Corinthians,2016-08-04,2,0,200,240,152,158,211,163,160,220,170,150,210,165,202,240,150,164,223,196,154,220,165,165,165,165
50,2016,Santos,Flamengo RJ,2016-08-04,0,0,102,240,328,145,212,177,160,210,179,140,210,179,100,240,333,156,236,196,165,220,154,154,154,154
