Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
New York Giants;New England Patriots;bet-at-home;+129;-167;05 Feb 2012; 21;17 ;2011-2012
New York Giants;New England Patriots;bet365;+140;-161;05 Feb 2012; 21;17 ;2011-2012
New York Giants;New England Patriots;Pinnacle;+152;-169;05 Feb 2012; 21;17 ;2011-2012
New York Giants;New England Patriots;Unibet;+125;-154;05 Feb 2012; 21;17 ;2011-2012
New York Giants;New England Patriots;William Hill;+138;-161;05 Feb 2012; 21;17 ;2011-2012
AFC;NFC;bet-at-home;+129;-167;29 Jan 2012; 59;41 ;2011-2012
AFC;NFC;bet365;+140;-161;29 Jan 2012; 59;41 ;2011-2012
AFC;NFC;bwin;+135;-164;29 Jan 2012; 59;41 ;2011-2012
AFC;NFC;Pinnacle;+152;-169;29 Jan 2012; 59;41 ;2011-2012
AFC;NFC;Unibet;-169;-169;29 Jan 2012; 59;41 ;2011-2012
AFC;NFC;William Hill;+145;-164;29 Jan 2012; 59;41 ;2011-2012
San Francisco 49ers;New York Giants;bet-at-home;-143;+110;22 Jan 2012; 17;20 ;2011-2012
San Francisco 49ers;New York Giants;bet365;-152;+129;22 Jan 2012; 17;20 ;2011-2012
San Francisco 49ers;New York Giants;bwin;-149;+125;22 Jan 2012; 17;20 ;2011-2012
San Francisco 49ers;New York Giants;Pinnacle;-149;+136;22 Jan 2012; 17;20 ;2011-2012
San Francisco 49ers;New York Giants;Unibet;-149;+120;22 Jan 2012; 17;20 ;2011-2012
San Francisco 49ers;New York Giants;William Hill;-145;+125;22 Jan 2012; 17;20 ;2011-2012
New England Patriots;Baltimore Ravens;bet-at-home;-357;+260;22 Jan 2012; 23;20 ;2011-2012
New England Patriots;Baltimore Ravens;bet365;-345;+270;22 Jan 2012; 23;20 ;2011-2012
New England Patriots;Baltimore Ravens;bwin;-370;+290;22 Jan 2012; 23;20 ;2011-2012
New England Patriots;Baltimore Ravens;Pinnacle;-345;+305;22 Jan 2012; 23;20 ;2011-2012
New England Patriots;Baltimore Ravens;Unibet;-370;+280;22 Jan 2012; 23;20 ;2011-2012
New England Patriots;Baltimore Ravens;William Hill;-345;+275;22 Jan 2012; 23;20 ;2011-2012
Green Bay Packers;New York Giants;bet-at-home;-435;+309;15 Jan 2012; 20;37 ;2011-2012
Green Bay Packers;New York Giants;bet365;-400;+320;15 Jan 2012; 20;37 ;2011-2012
Green Bay Packers;New York Giants;bwin;-400;+309;15 Jan 2012; 20;37 ;2011-2012
Green Bay Packers;New York Giants;Pinnacle;-385;+334;15 Jan 2012; 20;37 ;2011-2012
Green Bay Packers;New York Giants;Unibet;-400;+300;15 Jan 2012; 20;37 ;2011-2012
Green Bay Packers;New York Giants;William Hill;-400;+300;15 Jan 2012; 20;37 ;2011-2012
Baltimore Ravens;Houston Texans;bet-at-home;-400;+290;15 Jan 2012; 20;13 ;2011-2012
Baltimore Ravens;Houston Texans;bet365;-385;+300;15 Jan 2012; 20;13 ;2011-2012
Baltimore Ravens;Houston Texans;bwin;-417;+320;15 Jan 2012; 20;13 ;2011-2012
Baltimore Ravens;Houston Texans;Pinnacle;-345;+305;15 Jan 2012; 20;13 ;2011-2012
Baltimore Ravens;Houston Texans;Unibet;-400;+300;15 Jan 2012; 20;13 ;2011-2012
Baltimore Ravens;Houston Texans;William Hill;-400;+300;15 Jan 2012; 20;13 ;2011-2012
New England Patriots;Denver Broncos;bet-at-home;-833;+525;15 Jan 2012; 45;10 ;2011-2012
New England Patriots;Denver Broncos;bet365;+525;+550;15 Jan 2012; 45;10 ;2011-2012
New England Patriots;Denver Broncos;bwin;-1111;+700;15 Jan 2012; 45;10 ;2011-2012
New England Patriots;Denver Broncos;Pinnacle;-833;+604;15 Jan 2012; 45;10 ;2011-2012
New England Patriots;Denver Broncos;Unibet;+604;+604;15 Jan 2012; 45;10 ;2011-2012
New England Patriots;Denver Broncos;William Hill;-833;+550;15 Jan 2012; 45;10 ;2011-2012
Buffalo Bills;Miami Dolphins;bet365;-105;-116;18 Dec 2011; 23;30 ;2011-2012
Buffalo Bills;Miami Dolphins;bwin;-143;+120;18 Dec 2011; 23;30 ;2011-2012
Buffalo Bills;Miami Dolphins;Pinnacle;-119;+108;18 Dec 2011; 23;30 ;2011-2012
Buffalo Bills;Miami Dolphins;William Hill;-125;+104;18 Dec 2011; 23;30 ;2011-2012
Chicago Bears;Seattle Seahawks;bet-at-home;-200;+150;18 Dec 2011; 14;38 ;2011-2012
Chicago Bears;Seattle Seahawks;bet365;-227;+185;18 Dec 2011; 14;38 ;2011-2012
Chicago Bears;Seattle Seahawks;bwin;-250;+200;18 Dec 2011; 14;38 ;2011-2012
Chicago Bears;Seattle Seahawks;Pinnacle;-222;+197;18 Dec 2011; 14;38 ;2011-2012
Chicago Bears;Seattle Seahawks;Unibet;-222;+175;18 Dec 2011; 14;38 ;2011-2012
Chicago Bears;Seattle Seahawks;William Hill;-222;+179;18 Dec 2011; 14;38 ;2011-2012
Houston Texans;Carolina Panthers;bet-at-home;-286;+210;18 Dec 2011; 13;28 ;2011-2012
Houston Texans;Carolina Panthers;bet365;-294;+235;18 Dec 2011; 13;28 ;2011-2012
Houston Texans;Carolina Panthers;bwin;-303;+240;18 Dec 2011; 13;28 ;2011-2012
Houston Texans;Carolina Panthers;Pinnacle;-278;+248;18 Dec 2011; 13;28 ;2011-2012
Houston Texans;Carolina Panthers;Unibet;-286;+225;18 Dec 2011; 13;28 ;2011-2012
Houston Texans;Carolina Panthers;William Hill;-278;+240;18 Dec 2011; 13;28 ;2011-2012
Indianapolis Colts;Tennessee Titans;bet-at-home;+240;-333;18 Dec 2011; 27;13 ;2011-2012
Indianapolis Colts;Tennessee Titans;bet365;+240;-303;18 Dec 2011; 27;13 ;2011-2012
Indianapolis Colts;Tennessee Titans;bwin;+200;-250;18 Dec 2011; 27;13 ;2011-2012
Indianapolis Colts;Tennessee Titans;Pinnacle;+254;-286;18 Dec 2011; 27;13 ;2011-2012
Indianapolis Colts;Tennessee Titans;Unibet;-286;-286;18 Dec 2011; 27;13 ;2011-2012
Indianapolis Colts;Tennessee Titans;William Hill;-286;-286;18 Dec 2011; 27;13 ;2011-2012
Kansas City Chiefs;Green Bay Packers;bet-at-home;+600;-1000;18 Dec 2011; 19;14 ;2011-2012
Kansas City Chiefs;Green Bay Packers;bet365;+550;-833;18 Dec 2011; 19;14 ;2011-2012
Kansas City Chiefs;Green Bay Packers;bwin;+500;-769;18 Dec 2011; 19;14 ;2011-2012
Kansas City Chiefs;Green Bay Packers;Pinnacle;+569;-769;18 Dec 2011; 19;14 ;2011-2012
Kansas City Chiefs;Green Bay Packers;Unibet;+600;-1000;18 Dec 2011; 19;14 ;2011-2012
Kansas City Chiefs;Green Bay Packers;William Hill;+550;-833;18 Dec 2011; 19;14 ;2011-2012
Los Angeles Rams;Cincinnati Bengals;bet-at-home;+210;-286;18 Dec 2011; 13;20 ;2011-2012
Los Angeles Rams;Cincinnati Bengals;bet365;+229;-286;18 Dec 2011; 13;20 ;2011-2012
Los Angeles Rams;Cincinnati Bengals;bwin;+229;-286;18 Dec 2011; 13;20 ;2011-2012
Los Angeles Rams;Cincinnati Bengals;Pinnacle;+231;-263;18 Dec 2011; 13;20 ;2011-2012
Los Angeles Rams;Cincinnati Bengals;Unibet;+220;-286;18 Dec 2011; 13;20 ;2011-2012
Los Angeles Rams;Cincinnati Bengals;William Hill;+229;-270;18 Dec 2011; 13;20 ;2011-2012
Minnesota Vikings;New Orleans Saints;bet-at-home;+240;-333;18 Dec 2011; 20;42 ;2011-2012
Minnesota Vikings;New Orleans Saints;bet365;+260;-323;18 Dec 2011; 20;42 ;2011-2012
Minnesota Vikings;New Orleans Saints;bwin;+220;-278;18 Dec 2011; 20;42 ;2011-2012
Minnesota Vikings;New Orleans Saints;Pinnacle;+264;-303;18 Dec 2011; 20;42 ;2011-2012
Minnesota Vikings;New Orleans Saints;Unibet;+200;-256;18 Dec 2011; 20;42 ;2011-2012
Minnesota Vikings;New Orleans Saints;William Hill;+250;-303;18 Dec 2011; 20;42 ;2011-2012
New York Giants;Washington Commanders;bet-at-home;-333;+240;18 Dec 2011; 10;23 ;2011-2012
New York Giants;Washington Commanders;bet365;-312;+250;18 Dec 2011; 10;23 ;2011-2012
New York Giants;Washington Commanders;bwin;-263;+210;18 Dec 2011; 10;23 ;2011-2012
New York Giants;Washington Commanders;Pinnacle;-303;+264;18 Dec 2011; 10;23 ;2011-2012
New York Giants;Washington Commanders;Unibet;-303;+235;18 Dec 2011; 10;23 ;2011-2012
New York Giants;Washington Commanders;William Hill;-303;+250;18 Dec 2011; 10;23 ;2011-2012
Tampa Bay Buccaneers;Dallas Cowboys;bet-at-home;+240;-333;18 Dec 2011; 15;31 ;2011-2012
Tampa Bay Buccaneers;Dallas Cowboys;bet365;+265;-333;18 Dec 2011; 15;31 ;2011-2012
Tampa Bay Buccaneers;Dallas Cowboys;bwin;+179;-222;18 Dec 2011; 15;31 ;2011-2012
Tampa Bay Buccaneers;Dallas Cowboys;Pinnacle;+273;-312;18 Dec 2011; 15;31 ;2011-2012
Tampa Bay Buccaneers;Dallas Cowboys;Unibet;-312;-312;18 Dec 2011; 15;31 ;2011-2012
Tampa Bay Buccaneers;Dallas Cowboys;William Hill;+260;-323;18 Dec 2011; 15;31 ;2011-2012
Atlanta Falcons;Minnesota Vikings;bet-at-home;-500;+350;27 Nov 2011; 24;14 ;2011-2012
Atlanta Falcons;Minnesota Vikings;bet365;-455;+350;27 Nov 2011; 24;14 ;2011-2012
Atlanta Falcons;Minnesota Vikings;bwin;-455;+340;27 Nov 2011; 24;14 ;2011-2012
Atlanta Falcons;Minnesota Vikings;Pinnacle;-455;+384;27 Nov 2011; 24;14 ;2011-2012
Atlanta Falcons;Minnesota Vikings;Unibet;-500;+355;27 Nov 2011; 24;14 ;2011-2012
Atlanta Falcons;Minnesota Vikings;William Hill;+355;+355;27 Nov 2011; 24;14 ;2011-2012
Cincinnati Bengals;Cleveland Browns;bet-at-home;-400;+290;27 Nov 2011; 23;20 ;2011-2012
Cincinnati Bengals;Cleveland Browns;bet365;-345;+270;27 Nov 2011; 23;20 ;2011-2012
Cincinnati Bengals;Cleveland Browns;bwin;-312;+250;27 Nov 2011; 23;20 ;2011-2012
Cincinnati Bengals;Cleveland Browns;Pinnacle;-345;+297;27 Nov 2011; 23;20 ;2011-2012
Cincinnati Bengals;Cleveland Browns;Unibet;-370;+275;27 Nov 2011; 23;20 ;2011-2012
Cincinnati Bengals;Cleveland Browns;William Hill;-345;+275;27 Nov 2011; 23;20 ;2011-2012
Jacksonville Jaguars;Houston Texans;bet-at-home;+140;-182;27 Nov 2011; 13;20 ;2011-2012
Jacksonville Jaguars;Houston Texans;bet365;+154;-175;27 Nov 2011; 13;20 ;2011-2012
Jacksonville Jaguars;Houston Texans;bwin;+165;-200;27 Nov 2011; 13;20 ;2011-2012
Jacksonville Jaguars;Houston Texans;Pinnacle;+162;-179;27 Nov 2011; 13;20 ;2011-2012
