Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
Seattle Seahawks;New England Patriots;bet-at-home;-118;-108;01 Feb 2015; 24;28 ;2014-2015
Seattle Seahawks;New England Patriots;bet365;-116;-105;01 Feb 2015; 24;28 ;2014-2015
Seattle Seahawks;New England Patriots;bwin;-120;+100;01 Feb 2015; 24;28 ;2014-2015
Seattle Seahawks;New England Patriots;Marathonbet;-110;+104;01 Feb 2015; 24;28 ;2014-2015
Seattle Seahawks;New England Patriots;Pinnacle;-114;+102;01 Feb 2015; 24;28 ;2014-2015
Seattle Seahawks;New England Patriots;Unibet;-118;+104;01 Feb 2015; 24;28 ;2014-2015
Seattle Seahawks;New England Patriots;William Hill;-115;-105;01 Feb 2015; 24;28 ;2014-2015
Cris Carter Team;Michael Irvin Team;bet-at-home;-112;-114;26 Jan 2015; 28;32 ;2014-2015
Cris Carter Team;Michael Irvin Team;bet365;-135;+114;26 Jan 2015; 28;32 ;2014-2015
Cris Carter Team;Michael Irvin Team;bwin;-110;-110;26 Jan 2015; 28;32 ;2014-2015
Cris Carter Team;Michael Irvin Team;Marathonbet;-104;-104;26 Jan 2015; 28;32 ;2014-2015
Cris Carter Team;Michael Irvin Team;Pinnacle;-127;+114;26 Jan 2015; 28;32 ;2014-2015
Cris Carter Team;Michael Irvin Team;Unibet;-111;-111;26 Jan 2015; 28;32 ;2014-2015
Cris Carter Team;Michael Irvin Team;William Hill;-135;+114;26 Jan 2015; 28;32 ;2014-2015
New England Patriots;Indianapolis Colts;bet-at-home;-312;+231;18 Jan 2015; 45;7 ;2014-2015
New England Patriots;Indianapolis Colts;bet365;-303;+240;18 Jan 2015; 45;7 ;2014-2015
New England Patriots;Indianapolis Colts;bwin;-333;+260;18 Jan 2015; 45;7 ;2014-2015
New England Patriots;Indianapolis Colts;Marathonbet;-270;+250;18 Jan 2015; 45;7 ;2014-2015
New England Patriots;Indianapolis Colts;Pinnacle;-303;+264;18 Jan 2015; 45;7 ;2014-2015
New England Patriots;Indianapolis Colts;Unibet;-303;+245;18 Jan 2015; 45;7 ;2014-2015
New England Patriots;Indianapolis Colts;William Hill;-303;+250;18 Jan 2015; 45;7 ;2014-2015
Seattle Seahawks;Green Bay Packers;bet-at-home;-370;+269;18 Jan 2015; 28;22 ;2014-2015
Seattle Seahawks;Green Bay Packers;bet365;-294;+235;18 Jan 2015; 28;22 ;2014-2015
Seattle Seahawks;Green Bay Packers;bwin;-312;+250;18 Jan 2015; 28;22 ;2014-2015
Seattle Seahawks;Green Bay Packers;Marathonbet;-303;+280;18 Jan 2015; 28;22 ;2014-2015
Seattle Seahawks;Green Bay Packers;Pinnacle;-278;+248;18 Jan 2015; 28;22 ;2014-2015
Seattle Seahawks;Green Bay Packers;Unibet;-333;+265;18 Jan 2015; 28;22 ;2014-2015
Seattle Seahawks;Green Bay Packers;William Hill;-323;+260;18 Jan 2015; 28;22 ;2014-2015
Denver Broncos;Indianapolis Colts;bet-at-home;-333;+244;11 Jan 2015; 13;24 ;2014-2015
Denver Broncos;Indianapolis Colts;bet365;-323;+260;11 Jan 2015; 13;24 ;2014-2015
Denver Broncos;Indianapolis Colts;bwin;-333;+260;11 Jan 2015; 13;24 ;2014-2015
Denver Broncos;Indianapolis Colts;Marathonbet;-286;+260;11 Jan 2015; 13;24 ;2014-2015
Denver Broncos;Indianapolis Colts;Pinnacle;-312;+273;11 Jan 2015; 13;24 ;2014-2015
Denver Broncos;Indianapolis Colts;Unibet;-323;+260;11 Jan 2015; 13;24 ;2014-2015
Denver Broncos;Indianapolis Colts;William Hill;-323;+260;11 Jan 2015; 13;24 ;2014-2015
Green Bay Packers;Dallas Cowboys;bet-at-home;-303;+225;11 Jan 2015; 26;21 ;2014-2015
Green Bay Packers;Dallas Cowboys;bet365;-294;+235;11 Jan 2015; 26;21 ;2014-2015
Green Bay Packers;Dallas Cowboys;bwin;-303;+240;11 Jan 2015; 26;21 ;2014-2015
Green Bay Packers;Dallas Cowboys;Marathonbet;-263;+240;11 Jan 2015; 26;21 ;2014-2015
Green Bay Packers;Dallas Cowboys;Pinnacle;-286;+252;11 Jan 2015; 26;21 ;2014-2015
Green Bay Packers;Dallas Cowboys;Unibet;-294;+240;11 Jan 2015; 26;21 ;2014-2015
Green Bay Packers;Dallas Cowboys;William Hill;-303;+250;11 Jan 2015; 26;21 ;2014-2015
